name best pop_50 pop_100 pop_150 
circuit_4_pr299 17652.8460195387 24130.06361708127 20243.4771185137 30641.40760561715 
circuit_24_u724 7104.523546150239 7948.0610446674245 7911.571739110526 12864.250683885344 
circuit_13_pcb442 7586.722118291422 12694.212810543217 8739.07568288825 12732.179248729892 
city_5_ali535_l 228.13252270233846 261.262485813849 273.93066541323077 267.77556075703313 
gaussian_13 10.00595822635236 13.486783038267744 15.315657026238195 20.40556166042301 
gaussian_24 10.318151341495028 16.03582933408347 16.03582933408347 21.074021602747248 
circuit_10_pr107 47163.77337034089 74745.70323877841 86991.68075219021 74413.84973049483 
uniform_6 10.349430005841153 16.070496632039692 18.876596618471265 15.12081697741958 
circuit_6_p654 13465.564219435117 17620.883264095937 16450.341820164856 24603.784767437774 
city_11_nrw1379_r 20326.44906382764 55648.26977191542 38153.265160056886 38554.10054607409 
city_6_ali535_r 132.08685460882992 256.5415019380836 152.65424715980257 176.46313969502756 
circuit_1_linhp318 8845.690078045709 11057.546105194157 13833.893970061126 9623.478658739856 
gaussian_7 9.958316385737863 13.256677464588405 18.17461280296196 14.712241830413621 
uniform_10 9.80024231603195 13.094968104637788 13.094968104637788 13.094968104637788 
uniform_3 9.811231713100934 12.868209532458573 14.484273854838449 14.08925553147186 
circuit_11_pr144 35760.570270685566 62806.79451805477 41366.219565416446 36881.62240296478 
uniform_15 10.002776100167571 13.99258087076667 16.9822819235395 15.520685321346045 
uniform_22 9.616666531820865 15.716496570655194 15.059933099351769 15.716496570655194 
gaussian_2 9.650726853201181 14.413891977128568 18.868922983859118 15.632661030347741 
city_14_gr666_l 160.70518190168852 184.55404971184342 191.69900155435525 245.61130053608022 
gaussian_21 9.448930144132584 17.84261408859793 15.26629683954105 15.26629683954105 
gaussian_16 9.24478259613558 14.12412692261064 16.23779730819345 17.569180528561766 
uniform_18 9.929926841645145 16.471465302809037 16.471465302809037 14.862781540829458 
city_23_att532_r 20142.652513903937 38194.684886151714 38734.21060093901 39030.40706023531 
city_0_bier127 46171.58194782312 117134.57948888806 85229.917665908 114841.78751211759 
city_22_att532_l 17033.62712074488 22147.38193223535 19563.728707146325 26177.356589849835 
gaussian_11 10.221352775302252 13.781761248268335 15.393740106346836 16.560961332572436 
gaussian_8 9.856780510775573 15.960175857349377 15.497131313319471 15.226627522112695 
city_21_gr229 276.142330594443 433.4735173879248 656.7013602292128 303.35665700021514 
city_12_gr431 146.66320583670736 164.07597345451296 162.95601963031763 163.51988829048148 
city_18_brd14051_ul 18879.998980571163 36880.68376362029 20862.814953071796 36443.3292644484 
uniform_9 9.8175591627074 13.56620484703323 13.56620484703323 12.353587274797334 
circuit_9_pr136 39465.11134242221 67765.60652607154 51477.65985051942 67757.64575485681 
city_10_nrw1379_l 18256.72388170646 34807.68803781939 34277.452609362364 35002.927746848254 
circuit_18_d1291 7387.150638357155 13698.835278910943 18763.240152188824 8708.961717602673 
gaussian_5 10.381764330867869 14.046421409204072 14.046421409204072 16.019315383552954 
city_17_brd14051_ll 14838.048975611096 16010.397846544822 29332.139065432304 20736.604630922815 
uniform_12 9.631597655594144 12.792596737034613 13.440175755947488 12.792596737034613 
uniform_4 10.732445910023236 15.773535810811005 17.774435331394887 22.194280938676624 
uniform_20 9.65052979498801 12.649237957613007 11.794231321619552 11.45550047616155 
uniform_17 10.209661342390614 15.904902690085185 13.974175547745157 13.974175547745157 
circuit_14_fl417 5589.65457974217 6288.987511115808 11481.914095329006 8981.16020215047 
gaussian_0 9.594864665948029 15.303872189358646 18.12494485045538 16.34217341649751 
city_16_gr96 186.76886322723058 217.24073783117234 236.5627553108072 219.1846287651199 
gaussian_19 10.670404416343386 13.818590413589838 15.628946047820767 15.246370573791008 
uniform_1 9.811031254288215 13.753793849788892 13.753793849788892 14.326260927728253 
circuit_23_pr1002 31791.140403135647 57341.11539052202 57728.058326773185 81282.62664495327 
city_24_berlin52 4701.958190378028 6776.902430718274 5517.302427990591 5404.12854910519 
gaussian_14 10.4600712908741 17.525336908882483 16.109967287370793 17.48228077489079 
gaussian_23 10.032820887287423 14.853153562628002 17.111537219081203 15.493067066320073 
circuit_15_u1060 31746.726444357122 83007.85249631171 37601.054150984884 35450.03007126052 
city_19_brd14051_lr 17865.661185812456 20100.905243183537 33149.82308387237 47504.189433828695 
city_20_brd14051_ur 24397.90820662203 45852.52796351127 27334.603600976134 46377.86359767487 
circuit_21_d493 8338.21004800568 21790.787617887745 15587.851709062294 15504.896242331892 
uniform_2 9.572841410274966 13.148979164148326 13.148979164148326 13.148979164148326 
circuit_22_u574 7013.191183292717 7871.630375298868 12463.380188826271 12756.571150417489 
gaussian_3 10.067320591800806 16.62413302785534 17.210419705631978 19.376559048840562 
city_1_usa13509_ll 2128166.8730982384 4201125.530816727 2453992.833116805 4110139.870451045 
uniform_14 9.656445842170992 15.837935295393194 15.65399070186692 14.84809380943358 
uniform_23 10.244608984717456 14.443973401916454 15.03091084646323 14.742149705964671 
circuit_16_pr76 45864.41089556478 78426.73456625376 79704.06725657973 49746.46126248641 
uniform_19 9.807033327538868 14.916493859265799 15.082271846961849 17.69857546399534 
circuit_0_a280 684.251913775264 1088.4946001911756 1096.9695851646868 1052.0407320125962 
gaussian_20 9.47029327578021 14.514501195558852 13.833057210699812 14.514501195558852 
gaussian_17 9.403600358461283 15.391512974838204 19.256339236652625 18.917988699601278 
city_4_usa13509_ur 2412152.229675424 2650717.09347879 2671915.3639108557 2699390.1612776928 
circuit_5_d657 8233.957482206188 14893.168766412327 9909.834115927792 14281.264253373445 
