Inst_a,Inst_b,Ctrl_type,Ctrl_param,Distance
seed2,seed2,r,7,-0.9606314933491101
seed2,seed2,r,8,-0.9793905244738231
seed2,seed2,r,9,-0.9331835185106137
seed2,seed2,t,0,-0.9096138782056676
seed2,seed2,t,1,-1.0131148870049766
seed2,seed2,t,2,-0.9999358078614438
seed2,seed2,t,3,-0.9722858499601256
seed2,seed2,t,4,-0.9150207901981869
seed2,seed2,t,5,-0.9471366225746346
seed2,seed2,t,6,-0.9510441429724215
seed2,seed2,t,7,-0.8682917286791328
seed2,seed2,t,8,-0.9380820054341322
seed2,seed2,t,9,-0.9750697846407932
seed2,seed3,r,1,-0.9226861155316856
seed2,seed4,r,1,-0.8453258714570775
seed3,berlin52-2,r,1,-0.9031289116244127
seed3,eil51-1,r,1,-0.9374807545334113
seed3,seed0,r,1,-0.9158002458821223
seed3,seed1,r,1,-0.879508943437486
seed3,seed2,r,1,-0.9292361103314147
seed3,seed3,r,0,-0.956572409746169
seed3,seed3,r,1,-0.9210075017045041
seed3,seed3,r,2,-0.8747124460728729
seed3,seed3,r,3,-0.9220163200798024
seed3,seed3,r,4,-0.9033018832438741
seed3,seed3,r,5,-0.9466668261439938
seed3,seed3,r,6,-0.9212700042669963
seed3,seed3,r,7,-0.9177254883944874
seed3,seed3,r,8,-0.911914868427619
seed3,seed3,r,9,-0.9335618358745913
seed3,seed3,t,0,-0.956572409746169
seed3,seed3,t,1,-0.9536841562742571
seed3,seed3,t,2,-0.9669312392338555
seed3,seed3,t,3,-0.99427071907084
seed3,seed3,t,4,-0.9577050966397437
seed3,seed3,t,5,-0.9794660222340345
seed3,seed3,t,6,-0.9953574784391729
seed3,seed3,t,7,-0.9735942044887164
seed3,seed3,t,8,-1.0038718099916821
seed3,seed3,t,9,-1.0120097969322563
seed3,seed4,r,1,-0.911956240751795
seed4,berlin52-2,r,1,-0.9400177290378359
seed4,eil51-1,r,1,-0.9061616218308742
seed4,seed0,r,1,-0.908765721074228
seed4,seed1,r,1,-0.9507553224067019
seed4,seed2,r,1,-0.9392942694297575
seed4,seed3,r,1,-0.9339216842477884
seed4,seed4,r,0,-0.9191471848154362
