name best iter_.01 iter_.03 iter_1 
circuit_4_pr299 17652.8460195387 31121.723602294307 30749.618923080114 19318.76366638431 
circuit_24_u724 7104.523546150239 12921.176971039398 13086.713721363943 12818.555425324506 
circuit_13_pcb442 7586.722118291422 8906.952050137634 12716.210459584472 8675.405541474709 
city_5_ali535_l 228.13252270233846 248.52857808673875 262.25452269112037 264.35451466786094 
gaussian_13 10.00595822635236 18.25433500709212 14.635011428549046 15.077984681738275 
gaussian_24 10.318151341495028 16.03582933408347 17.417954240109154 16.03582933408347 
circuit_10_pr107 47163.77337034089 72696.66506562223 85075.71991475877 87351.44292602243 
uniform_6 10.349430005841153 17.574649816697264 14.991412901403823 16.070496632039692 
circuit_6_p654 13465.564219435117 16516.3912493546 25575.999040233655 22756.16387891719 
city_11_nrw1379_r 20326.44906382764 38583.77254863228 56612.826825197735 55766.18618552077 
city_6_ali535_r 132.08685460882992 151.55815817491467 322.27938764740816 155.50038543073273 
circuit_1_linhp318 8845.690078045709 18624.814683214776 19580.63851807934 10827.899843369383 
gaussian_7 9.958316385737863 14.712241830413621 14.690101907698635 14.712241830413621 
uniform_10 9.80024231603195 13.094968104637788 13.60338858040397 13.094968104637788 
uniform_3 9.811231713100934 14.08925553147186 14.08925553147186 14.08925553147186 
circuit_11_pr144 35760.570270685566 41767.83726092356 37417.79552496686 41819.4543856296 
uniform_15 10.002776100167571 14.46026555544755 15.148378222705828 15.148378222705828 
uniform_22 9.616666531820865 15.716496570655194 15.716496570655194 16.180983862344203 
gaussian_2 9.650726853201181 15.632661030347741 14.282323460765321 15.632661030347741 
city_14_gr666_l 160.70518190168852 198.07431361832013 281.3184625115569 187.83024487471764 
gaussian_21 9.448930144132584 14.330100161896345 14.459342901818728 14.233045470236101 
gaussian_16 9.24478259613558 14.12412692261064 15.409619485144136 13.44939210443499 
uniform_18 9.929926841645145 15.909806486489607 17.663757971991387 16.471465302809037 
city_23_att532_r 20142.652513903937 38274.30468068015 38502.341632102485 21943.52181297315 
city_0_bier127 46171.58194782312 57138.03439220617 81776.77543828526 85411.52796821874 
city_22_att532_l 17033.62712074488 30316.415969335067 22147.38193223535 19803.49167982289 
gaussian_11 10.221352775302252 14.882545442026279 14.385045186635486 13.85943897015555 
gaussian_8 9.856780510775573 18.575146443658422 15.960175857349377 14.467825821337238 
city_21_gr229 276.142330594443 378.97428120454305 331.2427209075557 458.94533417402783 
city_12_gr431 146.66320583670736 175.85742001402178 257.15459724913507 258.07598424344434 
city_18_brd14051_ul 18879.998980571163 21362.87585379932 20502.87294536178 21467.675750185874 
uniform_9 9.8175591627074 13.157028750063066 13.583907979969485 13.046834045980672 
circuit_9_pr136 39465.11134242221 67465.72154822653 74995.55626072083 89471.91407587705 
city_10_nrw1379_l 18256.72388170646 49102.60389572441 34757.01387064324 49068.43405958644 
circuit_18_d1291 7387.150638357155 13659.279817162676 8434.208465720763 8250.549827975165 
gaussian_5 10.381764330867869 13.618311019041524 14.046421409204072 13.483387628787755 
city_17_brd14051_ll 14838.048975611096 28534.321142213797 29347.01998772557 29207.630248737016 
uniform_12 9.631597655594144 12.602901824889141 12.23158576214943 13.455636321655641 
uniform_4 10.732445910023236 15.343801488924905 16.751022862233953 18.30452079731727 
uniform_20 9.65052979498801 11.997766761054253 11.825365362863305 11.266797993559672 
uniform_17 10.209661342390614 13.42251538496666 19.167502531707477 13.974175547745157 
circuit_14_fl417 5589.65457974217 6109.049275832702 6268.598346535113 8196.707275209808 
gaussian_0 9.594864665948029 15.468949878701014 19.464987146761654 16.34217341649751 
city_16_gr96 186.76886322723058 229.40518658938765 234.14246374849998 206.01214111302056 
gaussian_19 10.670404416343386 17.286617023311447 15.71140202561747 14.41863379573332 
uniform_1 9.811031254288215 13.39148993656736 14.373768013594923 16.264801368906884 
circuit_23_pr1002 31791.140403135647 58185.230054874904 78475.3236603428 61296.49459619923 
city_24_berlin52 4701.958190378028 5515.996327837663 5219.209353632183 5422.2470733932205 
gaussian_14 10.4600712908741 15.195810449543442 18.924184804551945 16.976501733492274 
gaussian_23 10.032820887287423 16.655340037691275 17.789974232293737 13.567229954754376 
circuit_15_u1060 31746.726444357122 34362.7453480354 41483.36152597129 38122.56347700327 
city_19_brd14051_lr 17865.661185812456 19260.755486479124 33729.54528280352 47416.160708817966 
city_20_brd14051_ur 24397.90820662203 26490.33012937503 26544.123729570783 27344.841834695035 
circuit_21_d493 8338.21004800568 15504.884067409115 9162.226004908114 15450.672817329923 
uniform_2 9.572841410274966 13.148979164148326 13.096855427836672 15.052776876417783 
circuit_22_u574 7013.191183292717 12282.157046144013 12426.047291230094 7904.633691334932 
gaussian_3 10.067320591800806 14.060699402181916 14.09738802958153 14.844049012476583 
city_1_usa13509_ll 2128166.8730982384 2371028.8362253862 4106276.8166122492 5944124.053694522 
uniform_14 9.656445842170992 15.437593765911764 14.403430036280486 15.645142838883427 
uniform_23 10.244608984717456 15.03091084646323 15.03091084646323 15.03091084646323 
circuit_16_pr76 45864.41089556478 79563.39171248388 49678.89257606205 58309.646471038155 
uniform_19 9.807033327538868 15.89009146378487 15.082271846961849 15.628996386045856 
circuit_0_a280 684.251913775264 740.5460182274928 1007.1963695820045 1266.8767984229753 
gaussian_20 9.47029327578021 14.514501195558852 14.514501195558852 16.43323269337443 
gaussian_17 9.403600358461283 16.475428659732938 16.72088854359216 14.316498400146452 
city_4_usa13509_ur 2412152.229675424 4631312.02689682 4644417.458747904 4727159.035283408 
circuit_5_d657 8233.957482206188 20360.311914959708 10041.87362585909 9352.464821818496 
