name best iter_50 iter_100 iter_150 
circuit_4_pr299 17652.8460195387 19256.935515222514 31324.10506881755 19442.245117842336 
circuit_24_u724 7104.523546150239 12760.148215212543 17797.276895297462 18108.15267227242 
circuit_13_pcb442 7586.722118291422 8292.282644909668 12804.035877783788 8109.606019741539 
city_5_ali535_l 228.13252270233846 261.78166852887836 260.31158571478784 280.46620072217263 
gaussian_13 10.00595822635236 19.31056023870881 15.315657026238195 14.255704611708877 
gaussian_24 10.318151341495028 17.770534829218477 17.221337824666712 17.50221521131873 
circuit_10_pr107 47163.77337034089 53912.481268960524 85706.60415157943 88149.28626533867 
uniform_6 10.349430005841153 15.631793611555665 16.483784873076463 15.043661135952792 
circuit_6_p654 13465.564219435117 25233.997216335152 26030.310949225393 20238.87390981344 
city_11_nrw1379_r 20326.44906382764 22460.013600293532 39504.27758751654 38383.17880462933 
city_6_ali535_r 132.08685460882992 246.70188358872701 164.5120306286778 162.81689774361487 
circuit_1_linhp318 8845.690078045709 14307.167287814664 14685.140201843305 15102.860108657174 
gaussian_7 9.958316385737863 13.900631648131268 19.37868734825379 13.782424446612646 
uniform_10 9.80024231603195 13.094968104637788 13.094968104637788 12.778559319138825 
uniform_3 9.811231713100934 14.08925553147186 14.08925553147186 14.08925553147186 
circuit_11_pr144 35760.570270685566 40983.2796965505 67915.74955716892 61097.4948865776 
uniform_15 10.002776100167571 14.109954963428898 15.148378222705828 15.148378222705828 
uniform_22 9.616666531820865 13.674058865092391 17.03926793520693 14.31543847649759 
gaussian_2 9.650726853201181 15.94089321752749 17.342201891849736 20.539890924320314 
city_14_gr666_l 160.70518190168852 239.05102361992232 198.07062378438926 192.44013915989856 
gaussian_21 9.448930144132584 15.26629683954105 17.021364589628213 15.181278014840366 
gaussian_16 9.24478259613558 13.415286912441124 14.12412692261064 14.12412692261064 
uniform_18 9.929926841645145 15.901707455278803 15.891662237591605 19.748088543624977 
city_23_att532_r 20142.652513903937 22430.618233437577 22717.551548449555 38081.21688637201 
city_0_bier127 46171.58194782312 83560.10872829973 117637.87059340936 83979.99130338203 
city_22_att532_l 17033.62712074488 19393.019974208742 19349.25682390696 28523.085818831234 
gaussian_11 10.221352775302252 16.95612311297989 14.167783371307971 15.393740106346836 
gaussian_8 9.856780510775573 17.024677279196556 15.960175857349377 18.456610957918418 
city_21_gr229 276.142330594443 312.21689317181335 481.0304225272345 454.1970443374435 
city_12_gr431 146.66320583670736 257.217512563078 255.75425559997691 256.96906415552996 
city_18_brd14051_ul 18879.998980571163 36719.11147690361 40170.450649593404 36430.873187034194 
uniform_9 9.8175591627074 14.118398569029468 12.724509451371338 13.56620484703323 
circuit_9_pr136 39465.11134242221 71527.2639429542 64429.49275674688 73511.76642963517 
city_10_nrw1379_l 18256.72388170646 50222.29488711447 49729.17274243658 19985.10553944961 
circuit_18_d1291 7387.150638357155 13765.742911062951 13345.366310785179 13494.81809052784 
gaussian_5 10.381764330867869 13.706711620388013 13.424176005251292 13.532228664837943 
city_17_brd14051_ll 14838.048975611096 16665.36756950487 30599.41654320728 28973.73574971459 
uniform_12 9.631597655594144 12.792596737034613 12.792596737034613 12.792596737034613 
uniform_4 10.732445910023236 18.488919291471408 16.811163842922916 19.19382693698421 
uniform_20 9.65052979498801 13.0544383709147 11.878435537362549 11.878435537362549 
uniform_17 10.209661342390614 14.274743389480024 14.899524082242952 14.261460807284555 
circuit_14_fl417 5589.65457974217 8059.73581601154 6427.120560773053 6237.747252457371 
gaussian_0 9.594864665948029 18.734121197634302 15.034089496985041 16.34217341649751 
city_16_gr96 186.76886322723058 244.2925433397119 207.82960280319074 220.50953377354818 
gaussian_19 10.670404416343386 14.93971808851646 15.71140202561747 15.087896958803379 
uniform_1 9.811031254288215 13.753793849788892 13.067754074541964 14.872083146722936 
circuit_23_pr1002 31791.140403135647 59844.15137007162 59699.14357433777 79526.12488489591 
city_24_berlin52 4701.958190378028 7460.146042256423 7089.135436561336 5423.779333152704 
gaussian_14 10.4600712908741 15.141000180969833 16.976501733492274 16.976501733492274 
gaussian_23 10.032820887287423 14.771138649636146 13.447588530412736 14.66690766557135 
circuit_15_u1060 31746.726444357122 42286.38717131029 57458.40935177976 56672.36931926261 
city_19_brd14051_lr 17865.661185812456 20341.21643161557 33663.873447834914 19550.120146947775 
city_20_brd14051_ur 24397.90820662203 65294.0709442119 47870.43766783397 46505.5608841351 
circuit_21_d493 8338.21004800568 15538.538044526678 21620.4222645802 22248.85415090304 
uniform_2 9.572841410274966 12.350995766301878 13.663800633493864 14.172093134494972 
circuit_22_u574 7013.191183292717 12185.010871020144 17187.108335859055 12221.669578966439 
gaussian_3 10.067320591800806 14.844049012476583 15.035800840385704 17.25444604871603 
city_1_usa13509_ll 2128166.8730982384 4167461.807289929 4136281.350592533 2426590.5183753963 
uniform_14 9.656445842170992 15.437593765911764 14.818516123062288 13.72103239734058 
uniform_23 10.244608984717456 14.74608321648765 15.790626168931833 15.03091084646323 
circuit_16_pr76 45864.41089556478 109567.93939183412 77314.05222563859 55453.30201103955 
uniform_19 9.807033327538868 15.842989408942598 15.082271846961849 15.082271846961849 
circuit_0_a280 684.251913775264 746.0131759033712 903.4378802504123 1090.740210109368 
gaussian_20 9.47029327578021 13.270637084973615 15.1260735284072 14.514501195558852 
gaussian_17 9.403600358461283 16.72088854359216 15.032209733957853 14.841947467092574 
city_4_usa13509_ur 2412152.229675424 6647091.121713032 4793141.695923688 2707090.83652638 
circuit_5_d657 8233.957482206188 9900.388530150725 9615.694687665984 14692.094266147305 
