name best iter_.01 iter_.05 iter_.1 
circuit_4_pr299 17652.8460195387 31007.852710859508 21047.337044507793 30870.90900330384 
circuit_24_u724 7104.523546150239 13036.290175351327 8092.447450082789 12932.333460290256 
circuit_13_pcb442 7586.722118291422 9383.309092322033 12906.542102421517 10226.224620117198 
city_5_ali535_l 228.13252270233846 271.04249990878253 272.5008361051804 270.3389126857726 
gaussian_13 10.00595822635236 15.865996257596123 14.247446857783201 17.29652423075773 
gaussian_24 10.318151341495028 15.240633749024102 16.03582933408347 15.41728640820562 
circuit_10_pr107 47163.77337034089 84248.97180358885 74085.69009058451 96564.19476549326 
uniform_6 10.349430005841153 15.346823223843904 15.66414496014438 17.037114491818897 
circuit_6_p654 13465.564219435117 25947.75887734899 14496.329785894706 24684.63432257519 
city_11_nrw1379_r 20326.44906382764 55556.91281329666 39544.06487536379 39205.24108074028 
city_6_ali535_r 132.08685460882992 165.9238457397293 153.68883042760388 245.4862842167002 
circuit_1_linhp318 8845.690078045709 13846.795381924892 13766.532660396886 14880.26402859636 
gaussian_7 9.958316385737863 13.850886812229703 16.28460604511106 14.167694944771537 
uniform_10 9.80024231603195 13.579063884796787 12.562424488830363 13.094968104637788 
uniform_3 9.811231713100934 14.08925553147186 13.33582517095677 14.08925553147186 
circuit_11_pr144 35760.570270685566 40118.18532665248 64077.640147240934 40886.79040890165 
uniform_15 10.002776100167571 17.417417488608468 14.481125267423348 14.311570068348313 
uniform_22 9.616666531820865 15.716496570655194 15.299756563164328 17.393295026987353 
gaussian_2 9.650726853201181 15.632661030347741 15.632661030347741 14.784504947692916 
city_14_gr666_l 160.70518190168852 252.46816406221149 195.07154574939602 204.61693078354912 
gaussian_21 9.448930144132584 15.26629683954105 15.26629683954105 15.26629683954105 
gaussian_16 9.24478259613558 13.024563851073657 16.595619854152176 14.12412692261064 
uniform_18 9.929926841645145 16.43618914667442 16.471465302809037 15.530750825992545 
city_23_att532_r 20142.652513903937 37923.694920356975 38237.76142176234 22669.0225737224 
city_0_bier127 46171.58194782312 85419.14144402533 84003.9310219359 62388.81252934177 
city_22_att532_l 17033.62712074488 19906.025514554207 18622.87515976659 19362.160064814772 
gaussian_11 10.221352775302252 16.563586111434002 15.393740106346836 14.047636342152297 
gaussian_8 9.856780510775573 14.444826530961839 14.704259612413228 13.758946181796341 
city_21_gr229 276.142330594443 312.8182940111147 433.4735173879248 565.0069983348176 
city_12_gr431 146.66320583670736 177.836053620276 165.96906301229353 171.20074365945396 
city_18_brd14051_ul 18879.998980571163 36290.5644674626 36005.825166201044 52102.00582365483 
uniform_9 9.8175591627074 13.56620484703323 13.994802661991585 15.279711410855253 
circuit_9_pr136 39465.11134242221 91865.89629784728 48130.490819633116 67874.74437656668 
city_10_nrw1379_l 18256.72388170646 34658.20508236131 20348.714087819168 35151.47287355062 
circuit_18_d1291 7387.150638357155 13555.472302752069 18780.855600964336 7868.127147588921 
gaussian_5 10.381764330867869 14.046421409204072 14.046421409204072 17.53836481372735 
city_17_brd14051_ll 14838.048975611096 18097.390522176505 29113.271895275066 28808.12641952814 
uniform_12 9.631597655594144 12.29571406641698 12.792596737034613 12.792596737034613 
uniform_4 10.732445910023236 14.434500877785375 17.50783873318574 15.58365986478636 
uniform_20 9.65052979498801 12.608550569299153 11.450002295077644 12.091372228138107 
uniform_17 10.209661342390614 15.63607773717557 13.974175547745157 17.807578107258017 
circuit_14_fl417 5589.65457974217 6920.038209313745 8059.73581601154 6220.060338150956 
gaussian_0 9.594864665948029 16.05196534351459 16.34217341649751 16.665067362206518 
city_16_gr96 186.76886322723058 208.2873526912157 226.91930605228973 211.58696119692965 
gaussian_19 10.670404416343386 14.233169303641464 14.517084096139241 15.328992036531986 
uniform_1 9.811031254288215 13.753793849788892 13.9977783540735 13.753793849788892 
circuit_23_pr1002 31791.140403135647 80058.4957233601 39950.11966821359 37033.47102538069 
city_24_berlin52 4701.958190378028 5100.3745705756455 6189.375823628618 5135.300315117619 
gaussian_14 10.4600712908741 19.322888908804554 16.976501733492274 17.12433486805662 
gaussian_23 10.032820887287423 13.852824396372478 14.853153562628002 13.843281438851331 
circuit_15_u1060 31746.726444357122 36653.826569819124 35787.62993587839 55787.41313588419 
city_19_brd14051_lr 17865.661185812456 34591.688356660685 33964.95316275038 48198.058532758645 
city_20_brd14051_ur 24397.90820662203 27653.467961698236 46658.15353684304 47084.98123655363 
circuit_21_d493 8338.21004800568 9120.990719764211 9180.121031905894 15845.892538083403 
uniform_2 9.572841410274966 15.002545082216631 15.400912406268722 13.148979164148326 
circuit_22_u574 7013.191183292717 7859.370157408832 7616.171160148578 7775.866699391818 
gaussian_3 10.067320591800806 14.924003118960805 17.69987033851184 15.582813474360131 
city_1_usa13509_ll 2128166.8730982384 2342730.38692742 2351268.3165386654 4155147.50737005 
uniform_14 9.656445842170992 13.515250288600791 17.455812696149174 15.086362548439425 
uniform_23 10.244608984717456 17.415135678765207 15.000997039688643 15.03091084646323 
circuit_16_pr76 45864.41089556478 75590.89775051989 76829.04491489701 102169.6056620659 
uniform_19 9.807033327538868 15.082271846961849 15.082271846961849 12.60588783245381 
circuit_0_a280 684.251913775264 1497.5673125501326 1177.4783822543845 1289.4819439355801 
gaussian_20 9.47029327578021 13.934803809064833 13.089121571624482 14.514501195558852 
gaussian_17 9.403600358461283 15.544073854846598 15.99687772554904 16.72088854359216 
city_4_usa13509_ur 2412152.229675424 4750572.555544255 6690327.096726026 6588238.342353546 
circuit_5_d657 8233.957482206188 11217.056333502058 20262.6255788276 11217.056333502058 
