name best norm two_term
circuit_4_pr299 17652.8460195387 19095.456928017808 30972.24868372824
circuit_24_u724 7104.523546150239 13152.186309679937 8016.304338518745
circuit_13_pcb442 7586.722118291422 12698.511969153984 12622.82418762898
city_5_ali535_l 228.13252270233846 262.16407513502264 346.2232271928975
gaussian_13 10.00595822635236 20.417212425477846 17.873433327104458
gaussian_24 10.318151341495028 22.183823052859484 14.798914798033092
circuit_10_pr107 47163.77337034089 51829.29530770356 84305.2091738694
uniform_6 10.349430005841153 18.97623818087979 18.68953354738569
circuit_6_p654 13465.564219435117 21643.67697096468 26290.613428507764
city_11_nrw1379_r 20326.44906382764 22684.76599427694 38863.88216722582
city_6_ali535_r 132.08685460882992 334.31375087418326 158.23562330586216
circuit_1_linhp318 8845.690078045709 14767.361903798148 9928.306089273
gaussian_7 9.958316385737863 18.97723469908845 19.719042649932224
uniform_10 9.80024231603195 17.441395113421226 21.566099799657316
uniform_3 9.811231713100934 18.115000045212145 21.178674471433883
circuit_11_pr144 35760.570270685566 37603.21864652018 61294.59805483
uniform_15 10.002776100167571 21.744388218521998 17.97106011788119
uniform_22 9.616666531820865 19.566730950778748 18.78664561082636
gaussian_2 9.650726853201181 19.49928597642669 17.08299075841169
city_14_gr666_l 160.70518190168852 236.72895904194178 193.5871387560485
gaussian_21 9.448930144132584 14.326100514937238 20.251530613309477
gaussian_16 9.24478259613558 18.161162727276395 18.349949459955372
uniform_18 9.929926841645145 18.925154236087433 17.44283535339012
city_23_att532_r 20142.652513903937 21539.34584670347 21933.942786678086
city_0_bier127 46171.58194782312 83421.99729376117 86663.36409740319
city_22_att532_l 17033.62712074488 38638.42694212269 19312.493886106295
gaussian_11 10.221352775302252 20.928799436777034 15.980528221530815
gaussian_8 9.856780510775573 20.091621034220424 19.58581761596958
city_21_gr229 276.142330594443 632.8657702402569 433.4735173879248
city_12_gr431 146.66320583670736 257.01513166926867 262.0117392481963
city_18_brd14051_ul 18879.998980571163 36123.68786571806 36198.28718412185
uniform_9 9.8175591627074 20.418024037365537 19.610514994119754
circuit_9_pr136 39465.11134242221 90177.73855816695 65123.292144621075
city_10_nrw1379_l 18256.72388170646 49408.47748617497 35156.73553534666
circuit_18_d1291 7387.150638357155 18665.163568898915 8417.66181255028
gaussian_5 10.381764330867869 20.91960238392307 17.436256689154334
city_17_brd14051_ll 14838.048975611096 29569.15168680516 29613.67360660688
uniform_12 9.631597655594144 19.919162642987303 18.228117355077206
uniform_4 10.732445910023236 21.02729535092381 16.44009461570712
uniform_20 9.65052979498801 20.580898139198833 11.878435537362549
uniform_17 10.209661342390614 22.129022415436623 16.248882138325566
circuit_14_fl417 5589.65457974217 11594.155765041774 8226.08487866266
gaussian_0 9.594864665948029 19.14826480367658 19.203798396728324
city_16_gr96 186.76886322723058 209.91558130191183 227.72167063676156
gaussian_19 10.670404416343386 21.59999641262913 22.469679768219493
uniform_1 9.811031254288215 23.130077632991007 16.51243933818329
circuit_23_pr1002 31791.140403135647 61177.65199210569 57338.43087408245
city_24_berlin52 4701.958190378028 6872.389893339037 6518.966129070815
gaussian_14 10.4600712908741 19.65590812818907 17.571470004782313
gaussian_23 10.032820887287423 18.070822365453413 20.449324973917335
circuit_15_u1060 31746.726444357122 84701.13470948423 57461.94441298737
city_19_brd14051_lr 17865.661185812456 47583.173965619644 47916.27461763311
city_20_brd14051_ur 24397.90820662203 66283.44103868627 47428.15322683619
circuit_21_d493 8338.21004800568 8951.788432206105 9650.826945453211
uniform_2 9.572841410274966 20.978424721069786 20.16713032241037
circuit_22_u574 7013.191183292717 9762.49617700028 7770.039985083056
gaussian_3 10.067320591800806 18.402461392533752 18.745811819081542
city_1_usa13509_ll 2128166.8730982384 5868841.234500005 4086088.338745251
uniform_14 9.656445842170992 17.547257231413486 19.9266655784647
uniform_23 10.244608984717456 20.361010447245434 14.451211316062137
circuit_16_pr76 45864.41089556478 62108.76448280909 100751.73786313235
uniform_19 9.807033327538868 18.284841563540812 21.12261769305028
circuit_0_a280 684.251913775264 1405.5404953766342 1234.1243600608823
gaussian_20 9.47029327578021 14.127695635940487 19.8727847974238
gaussian_17 9.403600358461283 17.793310794542734 19.292336202100508
city_4_usa13509_ur 2412152.229675424 4739082.453974974 4734940.657352395
circuit_5_d657 8233.957482206188 14748.341892564937 25568.258928348347
circuit_3_pr264 27638.991112568947 62987.88965763299 64598.05690998651
gaussian_12 9.552591828115276 20.57173729573644 18.711790472666973
circuit_2_pr124 41642.85784196342 67473.30810059077 64850.314279265855
uniform_7 10.412223240448508 23.81570719599779 15.656542806426636
circuit_17_u159 21985.05744999775 48148.30788713635 37656.60134203879
city_8_fnl4461_l 23146.14845688299 27194.743151366914 63345.66484117488
uniform_11 9.783692850997902 18.613834471013057 12.599631762149839
city_13_gr202 129.11625632038397 250.51802583281392 245.32483581232262
gaussian_6 8.777777827798355 16.892535747207397 16.36780683362222
gaussian_1 10.008134577082057 19.806562510453933 21.449701121020887
circuit_20_pr226 40046.73827823757 43193.819198352874 42705.067696406935
gaussian_18 9.899552640652557 17.81485418820227 13.461324013099425
uniform_21 10.138404955587808 19.135890811271537 14.518174200587762
uniform_16 11.001379591610311 23.172655051692907 16.448096001312887
uniform_0 9.887239424920917 20.299199750538637 12.894480914141237
city_3_usa13509_lr 2049627.2190383386 2235206.9465259067 5706962.675141459
gaussian_15 8.89081707677772 16.260338303118775 16.752312272689633
city_15_gr666_r 141.76532519943638 253.02851521983263 346.96876199023194
gaussian_22 9.903843081742664 18.119329468470422 19.675273068772206
