name best spl_iter_200 spl_iter_250 spl_iter_300 
circuit_4_pr299 17652.8460195387 30859.025546071534 19048.191288654172 31117.971223246885 
circuit_24_u724 7104.523546150239 12727.475288475436 17481.551436009613 13117.344176143813 
circuit_13_pcb442 7586.722118291422 8283.758251845135 8514.599517163686 12546.910575011345 
city_5_ali535_l 228.13252270233846 269.3684729573881 258.2371484787841 280.0248614244558 
gaussian_13 10.00595822635236 15.315657026238195 14.051784786988385 14.793469227819248 
gaussian_24 10.318151341495028 16.51139701532261 16.03582933408347 16.03582933408347 
circuit_10_pr107 47163.77337034089 77066.12307925742 50639.186486175284 72930.12038857638 
uniform_6 10.349430005841153 15.319592337841325 14.847778848869783 16.070496632039692 
circuit_6_p654 13465.564219435117 14819.147943991517 22202.64807734034 15422.053895194178 
city_11_nrw1379_r 20326.44906382764 22332.001037342623 23363.10446115108 56661.92886477077 
city_6_ali535_r 132.08685460882992 271.1639565427924 198.99218819768893 153.68883042760388 
circuit_1_linhp318 8845.690078045709 10297.650943726403 12747.674531633445 14200.305824947365 
gaussian_7 9.958316385737863 16.030822875096124 13.762500633340286 18.186988585684635 
uniform_10 9.80024231603195 13.094968104637788 13.094968104637788 13.094968104637788 
uniform_3 9.811231713100934 14.08925553147186 13.520417269337798 17.252120348426715 
circuit_11_pr144 35760.570270685566 41984.6565183009 43780.748000429994 40713.34837471995 
uniform_15 10.002776100167571 17.502143798588108 14.818802536013369 16.703454070022264 
uniform_22 9.616666531820865 13.404275463824323 18.291440481248074 14.434683396871268 
gaussian_2 9.650726853201181 15.676870125689055 17.115809667546497 14.911591067824075 
city_14_gr666_l 160.70518190168852 208.88369391479006 245.18730579321638 214.0122829403336 
gaussian_21 9.448930144132584 15.26629683954105 14.906578602717447 14.25921268710989 
gaussian_16 9.24478259613558 13.764604271614902 12.783492930044922 14.12412692261064 
uniform_18 9.929926841645145 14.814050608971021 18.50012475224104 16.471465302809037 
city_23_att532_r 20142.652513903937 38496.96405126513 23326.99445949078 27125.86872822111 
city_0_bier127 46171.58194782312 81596.30958047177 84281.67107264153 50383.39253218763 
city_22_att532_l 17033.62712074488 22147.38193223535 20691.221492729008 20109.718869302727 
gaussian_11 10.221352775302252 16.414503062578316 15.040469637670705 14.38557454814366 
gaussian_8 9.856780510775573 17.663190472401666 15.84821865943709 15.704569813211384 
city_21_gr229 276.142330594443 338.7576855090626 482.49856763874357 318.6326275921754 
city_12_gr431 146.66320583670736 171.23737194789894 171.12833491373408 175.58200009997202 
city_18_brd14051_ul 18879.998980571163 52049.06022655676 36417.827292328846 36665.24370446776 
uniform_9 9.8175591627074 12.83885341250732 13.553562511077903 13.56620484703323 
circuit_9_pr136 39465.11134242221 68436.18695671608 78566.75908716266 64203.21795670336 
city_10_nrw1379_l 18256.72388170646 34857.830616992476 34923.841908142334 20672.577339333642 
circuit_18_d1291 7387.150638357155 13446.308430139083 18649.25349472741 18513.053007878865 
gaussian_5 10.381764330867869 13.866205578972558 13.09124147541734 13.637996999229216 
city_17_brd14051_ll 14838.048975611096 16399.509648051022 17421.385567202735 16304.605155085426 
uniform_12 9.631597655594144 12.792596737034613 12.792596737034613 14.581966284812308 
uniform_4 10.732445910023236 16.811163842922916 16.811163842922916 15.475119083688107 
uniform_20 9.65052979498801 11.878435537362549 11.878435537362549 11.961209788543147 
uniform_17 10.209661342390614 15.783334860165072 15.567007064110664 13.904344826767455 
circuit_14_fl417 5589.65457974217 10526.01502747857 9500.071157224966 5935.203193252968 
gaussian_0 9.594864665948029 16.34217341649751 14.573996684613181 16.34217341649751 
city_16_gr96 186.76886322723058 209.19821385672395 222.30076134482573 199.32131592178854 
gaussian_19 10.670404416343386 15.287203453335888 16.651644799220104 15.803493966853818 
uniform_1 9.811031254288215 12.79007527831097 12.280887529759285 13.753793849788892 
circuit_23_pr1002 31791.140403135647 57884.504657490885 59426.34633189522 59634.5681646521 
city_24_berlin52 4701.958190378028 6974.700420845833 6807.518120714111 5563.879300730891 
gaussian_14 10.4600712908741 16.976501733492274 16.976501733492274 15.280874608619817 
gaussian_23 10.032820887287423 13.78230660362627 15.128699072103585 14.853153562628002 
circuit_15_u1060 31746.726444357122 34777.365751248195 65263.81093701018 34940.3806398384 
city_19_brd14051_lr 17865.661185812456 33325.724918913475 20153.347625028407 48223.425061384536 
city_20_brd14051_ur 24397.90820662203 46658.15353684304 46493.45166040779 28504.46187351061 
circuit_21_d493 8338.21004800568 16109.625959058785 15439.889193525729 15656.627727808747 
uniform_2 9.572841410274966 13.148979164148326 14.097426587937917 12.880980618444037 
circuit_22_u574 7013.191183292717 12813.639171519222 12152.8477616102 12631.183437718391 
gaussian_3 10.067320591800806 15.66704553861341 14.624299162066643 15.414820793257817 
city_1_usa13509_ll 2128166.8730982384 2542866.46302348 4110787.3814208317 2373837.4646502524 
uniform_14 9.656445842170992 13.273934428776144 15.437593765911764 14.481739042481724 
uniform_23 10.244608984717456 15.928853930906707 13.475670776059289 15.03091084646323 
circuit_16_pr76 45864.41089556478 60653.92808292518 54107.89004357383 93337.10807079762 
uniform_19 9.807033327538868 15.420043824769241 15.96658585313775 12.99647343953806 
circuit_0_a280 684.251913775264 1052.0407320125962 1217.9040968604113 1017.6796894356864 
gaussian_20 9.47029327578021 13.30943189302241 13.424397864081012 14.514501195558852 
gaussian_17 9.403600358461283 18.24775565048523 15.828629906475829 16.72088854359216 
city_4_usa13509_ur 2412152.229675424 4673603.624463181 2620393.0034592696 4775217.264664621 
