name best spl_20 spl_50 spl_100 
circuit_4_pr299 17652.8460195387 19865.021101555612 41805.912100540445 30990.564761623056 
circuit_24_u724 7104.523546150239 13075.824924202823 18313.443878270908 12913.139169353872 
circuit_13_pcb442 7586.722118291422 12803.34332919231 12978.401643094596 12930.637184885347 
city_5_ali535_l 228.13252270233846 256.17639662099884 264.3199099737734 247.44882910039527 
gaussian_13 10.00595822635236 17.293124202056443 19.598154827921284 13.638423270194473 
gaussian_24 10.318151341495028 21.573993065110024 20.168285721291383 16.918650401870952 
circuit_10_pr107 47163.77337034089 50519.83635015726 54985.38228760367 74021.13612745142 
uniform_6 10.349430005841153 18.822753381019158 20.85574054915079 19.167989853956527 
circuit_6_p654 13465.564219435117 15348.962028162287 22551.349953423512 25399.321946408003 
city_11_nrw1379_r 20326.44906382764 38460.80009158613 39420.660531115835 39453.146386489665 
city_6_ali535_r 132.08685460882992 257.4242496385063 261.38931035156975 166.41645198556301 
circuit_1_linhp318 8845.690078045709 14350.81196364229 12015.48889367021 14904.736982683418 
gaussian_7 9.958316385737863 19.72079628038428 18.862120434145496 14.712241830413621 
uniform_10 9.80024231603195 19.8719419803335 18.87686674840101 13.094968104637788 
uniform_3 9.811231713100934 19.002442167056188 15.687707326357168 14.08925553147186 
circuit_11_pr144 35760.570270685566 38909.607743435656 63719.61235622076 60997.87184184424 
uniform_15 10.002776100167571 22.44807272961163 21.872024009838555 15.148378222705828 
uniform_22 9.616666531820865 21.257709405356465 20.37807032184016 15.716496570655194 
gaussian_2 9.650726853201181 18.729249363072327 19.806936561519905 18.649073895540607 
city_14_gr666_l 160.70518190168852 255.9019650725096 171.7954942455618 188.89089896648468 
gaussian_21 9.448930144132584 19.341308541312948 19.834028474829957 15.26629683954105 
gaussian_16 9.24478259613558 18.661916777700746 14.12412692261064 13.144165636650245 
uniform_18 9.929926841645145 20.930904547465968 18.937808599970076 15.719900993276045 
city_23_att532_r 20142.652513903937 38176.55567440356 22135.933575103594 38396.672030359136 
city_0_bier127 46171.58194782312 85779.8564073387 82986.99848713692 115793.47755668905 
city_22_att532_l 17033.62712074488 28835.025391329422 23370.708842301083 20315.21531691928 
gaussian_11 10.221352775302252 19.480624915226844 21.043312423973518 19.32627781906447 
gaussian_8 9.856780510775573 21.021951973837837 21.59586886945372 14.436281033151063 
city_21_gr229 276.142330594443 367.9147810204999 628.8153889200313 476.11955809003416 
city_12_gr431 146.66320583670736 168.1047998904638 255.4491089736522 265.9311966322386 
city_18_brd14051_ul 18879.998980571163 36523.71233353455 36013.104509871875 36253.69938734063 
uniform_9 9.8175591627074 20.441533015559333 22.39696078249678 13.56620484703323 
circuit_9_pr136 39465.11134242221 70676.75610617411 70411.7385441874 48119.7145436919 
city_10_nrw1379_l 18256.72388170646 35594.43624359984 35299.62750462163 50292.77106492549 
circuit_18_d1291 7387.150638357155 14071.829402493686 13233.87824205125 8554.02043090256 
gaussian_5 10.381764330867869 19.96744878286789 14.95509751886911 19.08986041682427 
city_17_brd14051_ll 14838.048975611096 41895.933674869986 41987.50695431488 30238.965792968032 
uniform_12 9.631597655594144 19.472099935384833 20.407826490620366 12.792596737034613 
uniform_4 10.732445910023236 19.631279860391228 22.210220464550584 20.299096002944292 
uniform_20 9.65052979498801 21.66132611980889 21.69706675022939 13.160130482503178 
uniform_17 10.209661342390614 19.02352280719346 21.03296054214795 16.366445928324637 
circuit_14_fl417 5589.65457974217 11736.858562537112 8895.572172120495 11212.94214122195 
gaussian_0 9.594864665948029 16.860823945829914 16.339486081590387 18.172689838168083 
city_16_gr96 186.76886322723058 227.15068514455845 243.83104649018253 199.61560299592048 
gaussian_19 10.670404416343386 22.663450905930823 17.249988824201036 16.023452169779624 
uniform_1 9.811031254288215 17.074527531959284 17.739422514929164 13.753793849788892 
circuit_23_pr1002 31791.140403135647 81464.70769125613 59695.30626731103 38472.31100094921 
city_24_berlin52 4701.958190378028 6925.73215550009 7184.88667070968 8246.841665726071 
gaussian_14 10.4600712908741 19.330662150632776 17.69486137443083 16.976501733492274 
gaussian_23 10.032820887287423 18.327640884013757 15.758469824306562 19.365927833948717 
circuit_15_u1060 31746.726444357122 35600.38678264455 84365.80819094063 84182.47609856151 
city_19_brd14051_lr 17865.661185812456 47536.634924126854 34528.854426910264 47352.97316437661 
city_20_brd14051_ur 24397.90820662203 72415.68411680285 46658.15353684304 50110.218512719046 
circuit_21_d493 8338.21004800568 15285.093518819815 15326.523506675729 15899.955609615501 
uniform_2 9.572841410274966 20.761756718107215 13.148979164148326 12.877414652867706 
circuit_22_u574 7013.191183292717 12187.431429146403 17499.741636566258 17811.980632771178 
gaussian_3 10.067320591800806 20.349370723938037 13.697177142961838 17.987361457657475 
city_1_usa13509_ll 2128166.8730982384 5872762.276527823 5798143.31483011 7632952.49690487 
uniform_14 9.656445842170992 20.636384259975085 14.590758864865306 16.351915292886023 
uniform_23 10.244608984717456 16.87784869776742 18.77920156718559 19.738122647473766 
circuit_16_pr76 45864.41089556478 62406.564378032745 83073.2373137788 53936.226837083304 
uniform_19 9.807033327538868 19.301745145533783 15.082271846961849 18.257519598600044 
circuit_0_a280 684.251913775264 1114.391904631816 890.4180612357115 1140.7304872737382 
gaussian_20 9.47029327578021 20.802404703897974 18.72423605774882 17.57354947817441 
gaussian_17 9.403600358461283 18.78745338965273 17.85337761612072 19.284193623991797 
city_4_usa13509_ur 2412152.229675424 4644406.430684437 4719623.184288149 2645140.092961531 
circuit_5_d657 8233.957482206188 9498.68614594393 14505.000267243802 14322.750946528371 
