name best spl_150 spl_200 spl_300 
circuit_4_pr299 17652.8460195387 19103.52814459033 36843.58190698789 19682.024121117043 
circuit_24_u724 7104.523546150239 12244.27107344234 12881.07887246005 12992.946140990998 
circuit_13_pcb442 7586.722118291422 12662.655298067595 8099.1725280862875 8397.49303855924 
city_5_ali535_l 228.13252270233846 261.4012666126772 261.9106546472943 285.4869711151429 
gaussian_13 10.00595822635236 17.713323278621722 19.97419909491301 16.175976961064084 
gaussian_24 10.318151341495028 17.195780358796316 17.960918591247324 16.03582933408347 
circuit_10_pr107 47163.77337034089 85969.36602349825 83252.79933378127 52258.47001934934 
uniform_6 10.349430005841153 16.070496632039692 20.799277863517503 16.987262148582236 
circuit_6_p654 13465.564219435117 15698.01177699116 22240.46054659353 14873.902993338688 
city_11_nrw1379_r 20326.44906382764 38855.270945179705 23036.798108233314 55233.61936828226 
city_6_ali535_r 132.08685460882992 153.68883042760388 243.53685566830387 153.68883042760388 
circuit_1_linhp318 8845.690078045709 15082.799392757353 10334.266869044026 14808.615138422574 
gaussian_7 9.958316385737863 14.93414273364651 18.7493552841063 16.58293886375885 
uniform_10 9.80024231603195 12.593372414014114 12.20709614340783 13.48563998588323 
uniform_3 9.811231713100934 14.08925553147186 14.08925553147186 14.08925553147186 
circuit_11_pr144 35760.570270685566 38444.33148911762 39239.239483008976 37348.55360140037 
uniform_15 10.002776100167571 13.766815378639574 16.882798600112555 15.148378222705828 
uniform_22 9.616666531820865 16.164542616467365 15.716496570655194 14.732356755192658 
gaussian_2 9.650726853201181 13.869381967261198 16.939040746476802 16.780823643122037 
city_14_gr666_l 160.70518190168852 207.51563880627174 223.15973758620558 204.6773346487456 
gaussian_21 9.448930144132584 16.025481958137554 13.711712205574068 16.27683756421591 
gaussian_16 9.24478259613558 15.903063658345433 14.832528769936285 13.604740682797626 
uniform_18 9.929926841645145 15.398060894169054 16.471465302809037 14.962352952750665 
city_23_att532_r 20142.652513903937 38749.92231002503 37890.38373175231 23519.48481933237 
city_0_bier127 46171.58194782312 52930.950687652614 54700.960552697405 51257.06415401573 
city_22_att532_l 17033.62712074488 20148.78337469385 20069.73589557353 27258.040489031737 
gaussian_11 10.221352775302252 18.308854321677874 13.673788333427915 15.393740106346836 
gaussian_8 9.856780510775573 17.01026849885968 15.960175857349377 15.111559296519767 
city_21_gr229 276.142330594443 355.5095372859878 345.74722667270817 315.83567249064527 
city_12_gr431 146.66320583670736 169.80764285197668 247.2262890219231 167.23380647781585 
city_18_brd14051_ul 18879.998980571163 20648.372161542855 36149.80288595416 20805.06778099301 
uniform_9 9.8175591627074 12.719779116965586 13.56620484703323 14.93793038211483 
circuit_9_pr136 39465.11134242221 55469.77007605446 69471.08486343204 62719.20428688297 
city_10_nrw1379_l 18256.72388170646 19867.75954776634 34953.59180739104 34974.92487259953 
circuit_18_d1291 7387.150638357155 8512.102750468783 7900.9445037976775 13737.369548198358 
gaussian_5 10.381764330867869 14.082268657987358 14.046421409204072 16.243748628322862 
city_17_brd14051_ll 14838.048975611096 41473.39354750541 42347.35228609843 16207.747692208559 
uniform_12 9.631597655594144 12.792596737034613 15.927147552690505 12.792596737034613 
uniform_4 10.732445910023236 16.811163842922916 18.361657870842567 16.569388485302987 
uniform_20 9.65052979498801 12.465513329329934 11.878435537362549 12.194320912441055 
uniform_17 10.209661342390614 21.11653915294318 13.974175547745157 17.342999864261404 
circuit_14_fl417 5589.65457974217 8569.590449312114 6078.708525549507 6149.976839106028 
gaussian_0 9.594864665948029 19.7371415933208 15.781179697952327 18.36799474537836 
city_16_gr96 186.76886322723058 222.0211342571506 202.2699408808966 244.47984077149243 
gaussian_19 10.670404416343386 16.107487988510954 15.369773426814277 14.589675012806513 
uniform_1 9.811031254288215 13.753793849788892 13.753793849788892 13.753793849788892 
circuit_23_pr1002 31791.140403135647 57483.49330950387 56951.35696040891 57060.588411758654 
city_24_berlin52 4701.958190378028 6784.8588796077365 5925.162459609381 6560.1835465178 
gaussian_14 10.4600712908741 14.933198786101917 20.94957600369273 15.857061918974422 
gaussian_23 10.032820887287423 18.284592552823867 14.558709505668755 14.853153562628002 
circuit_15_u1060 31746.726444357122 58459.49580728244 58313.88282263813 35180.382139897236 
city_19_brd14051_lr 17865.661185812456 33893.61779118495 47646.534443213495 33923.93656621339 
city_20_brd14051_ur 24397.90820662203 46021.50567524871 27660.73880962455 30657.902903005674 
circuit_21_d493 8338.21004800568 15356.543604597478 15570.991274679674 9364.811139801537 
uniform_2 9.572841410274966 19.438363638142164 15.059724444142908 15.83228491309493 
circuit_22_u574 7013.191183292717 7962.235939328174 8211.640461057726 12922.362154149867 
gaussian_3 10.067320591800806 14.844049012476583 15.31354514161825 19.24932428302205 
city_1_usa13509_ll 2128166.8730982384 5803992.257783779 2396862.585071056 4183952.759952922 
uniform_14 9.656445842170992 16.440528241741863 15.519632033755245 15.437593765911764 
uniform_23 10.244608984717456 14.141201344859782 15.156865643869343 15.03091084646323 
circuit_16_pr76 45864.41089556478 57700.84658591744 99263.07186430592 51536.421255555884 
uniform_19 9.807033327538868 15.566598291056012 15.082271846961849 15.082271846961849 
circuit_0_a280 684.251913775264 860.7200613759728 959.378358153737 925.233795377952 
gaussian_20 9.47029327578021 14.469369541273267 17.138120391781044 14.514501195558852 
gaussian_17 9.403600358461283 16.72088854359216 17.613225101349574 16.435698605137635 
city_4_usa13509_ur 2412152.229675424 6683230.5279752165 2691599.3217757093 4690566.001893654 
circuit_5_d657 8233.957482206188 20213.876302852037 9528.58525958542 9495.915278991546 
