name best norm two_term 
circuit_4_pr299 17652.8460195387 18806.49767452561 19422.856988173473 
circuit_24_u724 7104.523546150239 13187.3153847635 13331.715772086489 
circuit_13_pcb442 7586.722118291422 12899.900566191514 8362.43619385004 
city_5_ali535_l 228.13252270233846 276.41237020466684 248.01394197268195 
gaussian_13 10.00595822635236 14.514700053335329 15.315657026238195 
gaussian_24 10.318151341495028 16.03582933408347 15.539652007291803 
circuit_10_pr107 47163.77337034089 87441.25936753322 94843.31189598462 
uniform_6 10.349430005841153 16.070496632039692 15.0391744843141 
circuit_6_p654 13465.564219435117 15421.812420205873 22097.865341124096 
city_11_nrw1379_r 20326.44906382764 23669.382813611763 55161.594480254666 
city_6_ali535_r 132.08685460882992 269.62355183893374 253.72124532677302 
circuit_1_linhp318 8845.690078045709 14072.948865507304 14626.976206232725 
gaussian_7 9.958316385737863 13.746214404384975 13.56448113825327 
uniform_10 9.80024231603195 14.626279539337405 12.508367355338635 
uniform_3 9.811231713100934 13.172862155469666 12.700046568580845 
circuit_11_pr144 35760.570270685566 40528.46886591957 84916.15191171168 
uniform_15 10.002776100167571 14.015404015297277 15.148378222705828 
uniform_22 9.616666531820865 15.61189490445661 15.127455392900055 
gaussian_2 9.650726853201181 15.73138159398119 16.097629546201212 
city_14_gr666_l 160.70518190168852 208.83586863647258 229.93570467317565 
gaussian_21 9.448930144132584 13.727726199902348 14.54247557664292 
gaussian_16 9.24478259613558 14.12412692261064 13.021940915646502 
uniform_18 9.929926841645145 16.471465302809037 16.51598104014842 
city_23_att532_r 20142.652513903937 54108.90879381819 22685.60080151491 
city_0_bier127 46171.58194782312 81761.65996112257 85181.52063945087 
city_22_att532_l 17033.62712074488 19830.10094239435 22490.5526769037 
gaussian_11 10.221352775302252 14.368560734572903 15.634375421224615 
gaussian_8 9.856780510775573 18.365005917748398 15.960175857349377 
city_21_gr229 276.142330594443 433.4735173879248 406.0412606099353 
city_12_gr431 146.66320583670736 195.792606653917 168.97557141844425 
city_18_brd14051_ul 18879.998980571163 36204.0057660571 52029.86078748768 
uniform_9 9.8175591627074 13.56620484703323 14.416933710233312 
circuit_9_pr136 39465.11134242221 80712.17015172067 71287.25120104842 
city_10_nrw1379_l 18256.72388170646 21656.011043971725 20440.640233604696 
circuit_18_d1291 7387.150638357155 8619.968185924705 13584.896008644093 
gaussian_5 10.381764330867869 13.441769193991837 13.221348821252251 
city_17_brd14051_ll 14838.048975611096 28275.443506069936 18097.390522176505 
uniform_12 9.631597655594144 12.792596737034613 12.073872663763263 
uniform_4 10.732445910023236 16.811163842922916 16.811163842922916 
uniform_20 9.65052979498801 11.542730572493905 11.694125897277667 
uniform_17 10.209661342390614 13.463974643929687 22.02920117030275 
circuit_14_fl417 5589.65457974217 9046.439107375862 10108.880630588867 
gaussian_0 9.594864665948029 19.681635851306865 17.75643625497826 
city_16_gr96 186.76886322723058 226.69334406259458 201.41235577032495 
gaussian_19 10.670404416343386 15.71140202561747 15.71140202561747 
uniform_1 9.811031254288215 13.753793849788892 13.152484299973388 
circuit_23_pr1002 31791.140403135647 57165.14987050372 62925.284894971046 
city_24_berlin52 4701.958190378028 5871.965615019198 7212.325423872333 
gaussian_14 10.4600712908741 17.601439341132124 16.976501733492274 
gaussian_23 10.032820887287423 14.853153562628002 14.508798891227586 
circuit_15_u1060 31746.726444357122 33685.02761233152 35287.834479784564 
city_19_brd14051_lr 17865.661185812456 33162.09354410018 19247.616946301907 
city_20_brd14051_ur 24397.90820662203 46246.16454276257 45843.78731160631 
circuit_21_d493 8338.21004800568 15573.581160081525 21912.232313946774 
uniform_2 9.572841410274966 12.520115988458231 13.238690485838841 
circuit_22_u574 7013.191183292717 17631.185176454146 8365.982659966407 
gaussian_3 10.067320591800806 18.973247162878973 17.322181265472903 
city_1_usa13509_ll 2128166.8730982384 4279124.036293566 5852306.585341898 
uniform_14 9.656445842170992 14.266097535611193 14.236531056878947 
uniform_23 10.244608984717456 15.03091084646323 13.870870691820366 
circuit_16_pr76 45864.41089556478 81093.87568144256 52910.30212962989 
uniform_19 9.807033327538868 14.418958093585044 16.537985002849183 
circuit_0_a280 684.251913775264 1145.9383910359782 1052.0407320125962 
gaussian_20 9.47029327578021 13.46571921724472 14.514501195558852 
gaussian_17 9.403600358461283 15.804534370629876 17.965350771340244 
city_4_usa13509_ur 2412152.229675424 6647403.15744543 2748888.3061867016 
circuit_5_d657 8233.957482206188 20906.67625360161 10093.900942456125 
circuit_3_pr264 27638.991112568947 43802.085802418 53564.04027206423 
gaussian_12 9.552591828115276 13.857400732751408 13.21407449480034 
circuit_2_pr124 41642.85784196342 79544.87385442035 55837.642748318984 
uniform_7 10.412223240448508 13.52060346095211 13.623475576035819 
circuit_17_u159 21985.05744999775 37452.06916554013 23970.24275729358 
city_8_fnl4461_l 23146.14845688299 46081.59215006313 66763.89575969202 
uniform_11 9.783692850997902 14.562078501683835 12.72037626967702 
city_13_gr202 129.11625632038397 241.47569176292325 246.51942848549518 
gaussian_6 8.777777827798355 13.240769754019327 13.240769754019327 
gaussian_1 10.008134577082057 17.566110165228352 16.736085005709047 
circuit_20_pr226 40046.73827823757 44720.705866877965 42935.87571270873 
gaussian_18 9.899552640652557 14.441424775856948 15.172398770278114 
uniform_21 10.138404955587808 18.260272201961776 15.430223472897575 
uniform_16 11.001379591610311 20.209982597868468 16.7764078738083 
uniform_0 9.887239424920917 14.393300651670298 15.55411161987307 
city_3_usa13509_lr 2049627.2190383386 2503734.3585486365 2263327.597407024 
