inst_a inst_b best mapping geometric deepwalk node2vec struc2vec dummy heuristic_dbl_mst heuristic_far_ins heuristic_near_ins heuristic_near_neigh 
gaussian_13 gaussian_13_t1_#0 6.164309892191857 6.56142796510984 6.550800774944485 7.853801109929625 6.377995333654262 11.304920194229203 11.011721983101573 7.626356067322263 6.731100703806825 6.824840595279307 8.39724432628854 
gaussian_13 gaussian_13_r2_#0 6.844196696908158 8.50202953653303 8.50202953653303 12.25171606981246 8.99462680093317 12.075096471690369 10.039734731160399 8.694130176293596 7.214981874706537 7.075331803180308 8.299528756984964 
gaussian_13 gaussian_13_t2_#0 6.813199141004985 8.383393924935236 8.485617308794888 11.868994190322045 10.29555997442556 11.621884189615589 11.331282996453382 8.620875490791246 7.18442981510641 7.10297303850917 8.742960681332969 
gaussian_13 gaussian_13_r3_#0 7.742675928572085 9.961969858754047 9.961969858754047 12.200530666398917 11.740367313887424 14.501592699418765 13.16636291056174 9.752380824779957 8.176373330540315 7.918579638112051 9.372397547606326 
gaussian_13 gaussian_13_t3_#0 7.749242032920773 10.215236111297065 10.001835049418375 12.891740968892579 11.239229775936067 12.066804663080164 13.621393425721477 10.004231159701048 8.124074684817934 8.33560435279681 10.10190843399603 
gaussian_13 gaussian_13_r4_#0 8.210583804065411 11.526450458345584 11.091192963279228 13.555011080087983 12.242661804364646 12.200995482474964 12.718813224259568 9.915505507506788 8.51728225482569 8.593479140670674 10.835669543540805 
gaussian_13 gaussian_13_t4_#0 8.217509323162446 10.694744778120583 10.987360774880603 14.006282065136832 13.033640839591724 13.712974868183018 13.22076647024487 10.631421305005398 8.722853667298333 8.559353844919404 9.111689480731902 
gaussian_13 gaussian_13_r5_#0 8.727381021872619 12.206660014284424 11.868563737355178 14.70263917267195 16.47434804199875 15.324372982836312 16.050031514565774 10.66638789772387 9.77626198819109 10.029261823048195 9.655906011786643 
gaussian_13 gaussian_13_t5_#0 8.750437900924696 12.179406093443973 12.257840418947364 15.570890360571322 15.171135968203307 15.054193591141374 15.485855531057846 11.214200213269905 9.168891343463049 9.759205255340767 10.095281539820537 
gaussian_13 gaussian_13_r6_#0 9.676669088128424 12.997571865326153 14.010387209406336 16.701664224719938 16.050358390139277 19.177818508940206 16.857202906967313 12.551923613715408 10.608436513187852 10.619101092532702 10.968423883413948 
gaussian_13 gaussian_13_t6_#0 9.682805338393306 14.03584713142788 12.83069551726175 18.25884121360113 17.781506509910894 18.530932402657644 18.956570189503168 12.243743324441422 10.704020220832195 10.834090184379138 10.93469431899743 
gaussian_13 gaussian_13_r7_#0 9.59416152692351 15.247484869058626 15.247484869058626 18.210896951603367 19.89704562564648 18.742479651442885 17.317847171064063 12.452313963295893 9.829255705461966 10.667840020756621 10.990495367028096 
gaussian_13 gaussian_13_t7_#0 9.683324406616364 14.804529175157636 14.42978103591052 18.151139465881457 17.08163650343815 21.255335973724463 18.987234231406852 12.175541473764163 10.873045376091584 11.326104980692632 12.790340204388393 
gaussian_13 gaussian_13_r8_#0 8.346726900366367 14.425555573205164 14.425555573205164 17.071519959541018 18.030559706633486 16.560092000547463 17.670833419004545 10.240245795060178 9.476169557851263 8.82887867102455 9.465371765741137 
gaussian_13 gaussian_13_t8_#0 8.311650502516121 14.337352867887853 12.431246619559783 16.01158420099456 17.73772078003853 19.55547857346027 15.555679566257282 10.121507212496615 8.979301206445314 8.69032352878046 9.032302929087532 
gaussian_13 gaussian_13_r9_#0 10.00595822635236 15.666043187426936 15.229159592369427 21.04497634159729 21.49750057332011 19.238398199639004 19.485790554337385 12.655293474666701 11.450482640970966 11.207196818135369 10.9936394922527 
gaussian_13 gaussian_13_t9_#0 10.186567271779502 15.118259184970864 15.131832503542404 19.19348251063245 18.988187810020538 19.306940684169057 22.6448109350597 12.390487456718729 10.871117153337957 11.016941865503725 11.37823670796308 
gaussian_24 gaussian_24 8.382420758008655 8.382420758008655 8.382420758008655 8.382420758008655 8.382420758008655 13.856703743980308 13.448635347585125 10.10062363960881 9.144463854582941 9.31314201920995 10.042734928357717 
gaussian_24 gaussian_24_r1_#0 8.272692516273919 9.349829457844987 9.608343307775678 9.605386127840008 9.942532688692694 13.668125197409541 13.578624622424966 10.359543034126125 9.03861686759313 9.344833007949665 9.206233664621982 
gaussian_24 gaussian_24_t1_#0 8.269969644158733 8.986276070469422 9.604152260833562 10.733431501041135 9.25204854122482 13.681905992566781 13.676683313229098 10.796335771383383 8.849022045788566 9.223290124985773 9.892290736173106 
gaussian_24 gaussian_24_r2_#0 8.218505686144637 10.556870478285903 10.635466113543664 12.895487654581137 12.176757580671644 13.925429967757324 11.709204903562402 10.871297191225585 8.898129750200079 10.160360791203262 10.495469139996096 
gaussian_24 gaussian_24_t2_#0 8.221918706551737 10.640521678627413 10.640521678627413 14.370415774670642 13.503676352283074 14.047149986958448 14.122306024472197 10.737095621736858 8.995408304446968 9.559225322947892 9.777094628084084 
gaussian_24 gaussian_24_r3_#0 8.540162291634102 11.653283776856645 11.653283776856645 14.66330631783898 15.31279236869601 15.589425404700604 14.895231118153472 10.9982906198687 9.334579595364378 11.025849321759004 9.072905922886974 
gaussian_24 gaussian_24_t3_#0 8.555504492983282 10.40547174726105 11.631552993240053 13.92596682122709 12.906963989194129 13.587779902589109 15.212975668229554 11.00001354507612 9.40768919876758 10.151853573296936 10.179289323851167 
gaussian_24 gaussian_24_r4_#0 8.795710518724723 12.742886813517599 12.462142296435644 14.817918167469607 13.94087041160126 18.14029311875677 16.385623205665325 11.16213361795027 9.190860771932176 9.279841962462294 11.252672691376358 
gaussian_24 gaussian_24_t4_#0 8.839545281814974 12.24989455439477 12.12152314969171 15.697280762143004 13.520950239008616 15.786657529096109 13.762963735119486 11.404554180985865 8.913487329153561 10.198573750139385 10.599145362851779 
gaussian_24 gaussian_24_r5_#0 8.949460329993649 16.078311412206574 15.13120577810344 17.030058064707 17.10866286141754 16.890593107557482 16.982459433395352 11.64177561601289 9.576486664670936 9.913359175596602 9.817768512707625 
gaussian_24 gaussian_24_t5_#0 8.958212081599086 15.916627910285612 14.34397524275154 16.72492252321758 18.334762010101436 17.203278609445803 18.043034454466014 10.252608648032142 9.078912309248006 10.291236154721803 11.437881704725909 
gaussian_24 gaussian_24_r6_#0 8.425895205235173 13.89268691424089 13.756631303587268 16.69012315669965 16.552435606225263 18.100276745150943 17.248481019583316 10.698579410514977 8.884912177533533 8.911391417605033 10.55971849137003 
gaussian_24 gaussian_24_t6_#0 8.474791562465567 14.135721912656424 14.135721912656424 17.293152896512463 17.310809001315143 17.75511769807373 18.570095515178537 10.63032877553853 8.965667738852703 9.71971413140803 10.127028058608225 
gaussian_24 gaussian_24_r7_#0 9.291823425617947 17.70140908539143 16.046316935939895 18.504733248167074 19.217178847582563 18.991600273319385 19.569561071476944 12.796868494746985 10.20979177814628 9.637023520530049 9.89422564523004 
gaussian_24 gaussian_24_t7_#0 9.172789841458268 16.494433081801635 14.93424357939866 16.93356106552257 19.204825370255445 20.306363310096554 19.696051017463624 13.031098936856234 9.52358319368328 9.732195793987458 11.410740528940146 
gaussian_24 gaussian_24_r8_#0 9.652169782577069 18.54506516439085 14.65423335901367 21.08179572958863 19.255805616688438 20.55334890278424 20.40761720170947 12.8534676519191 10.33154177640491 11.032154818325472 10.900621061690103 
gaussian_24 gaussian_24_t8_#0 9.502598514051428 15.59223442749586 14.516141044089588 20.168095434698667 22.4382558260832 19.17584582410262 20.89227171533048 13.203758924248023 10.29231069532785 11.295566724133232 12.769247497886518 
gaussian_24 gaussian_24_r9_#0 10.318151341495028 15.769878182820403 16.03582933408347 20.44771778490943 22.09463836941385 21.102403058518636 19.665924147568425 14.072929205284632 10.498153037959593 11.784308526925967 12.386278165375693 
gaussian_24 gaussian_24_t9_#0 10.33968259085504 14.15089517020391 16.14775569239804 20.123951924612253 23.391157241442716 24.54164216988766 22.37053972247357 14.004397785567368 11.071593376295993 11.141207447807147 12.899116666344872 
circuit_10_pr107 circuit_10_pr107 30588.76549621744 41377.426940624115 30588.76549621744 87358.11787441843 30588.76549621744 85667.94345747844 85722.31451594945 39761.3602357941 31006.148757231625 33741.73442043132 35527.99281361957 
circuit_10_pr107 circuit_10_pr107_r1_#0 50431.84895621738 53172.3266709976 53172.3266709976 63196.4188063723 57131.99415724642 101556.48499192239 87945.61517640954 59696.12062473807 51987.33053369882 53936.20425080027 54872.4449989192 
circuit_10_pr107 circuit_10_pr107_t1_#0 49931.41532933071 52374.345984058345 52669.31637438362 57173.70199363213 56170.028066870414 101650.76593932982 109599.68275562927 56880.609547579144 51560.04608656259 54145.85504112431 58755.00735868711 
circuit_10_pr107 circuit_10_pr107_r2_#0 49581.641140790045 55962.6463663106 55962.6463663106 94371.50604756 111926.44181017998 122785.5701348012 100952.69954875093 57388.301685695624 49827.240559899896 53359.775455911695 56626.01215079143 
circuit_10_pr107 circuit_10_pr107_t2_#0 51219.33240959956 55517.531549742824 55517.531549742824 115271.80674506268 104914.51798066437 98618.24539576453 117818.90644639409 57307.22389284967 53457.25292533967 55297.584005690725 58613.431330876294 
circuit_10_pr107 circuit_10_pr107_r3_#0 49947.89025363269 55542.085345071864 76954.05569214323 99784.48238830241 119572.86104271877 116701.1855945157 85538.32497593787 55483.92309758312 51809.08657954477 53324.72878904238 56081.46731485333 
circuit_10_pr107 circuit_10_pr107_t3_#0 51648.450389204205 59404.427121035944 80180.59494766881 120392.56855081143 135417.11144472213 101251.98039615127 139562.44666932337 59273.03174740492 54789.302643968105 54709.21452409157 59949.433013550944 
