Inst_a,Inst_b,Distance
seed3,seed3_r0_#0,-0.9527471766200466
seed3,seed3_r0_#0,-1.0136741710383617
seed3,seed3_r0_#0,-0.9910340856406521
seed3,seed3_r1_#0,-0.9634717866779309
seed3,seed3_r1_#0,-0.991624775740833
seed3,seed3_r1_#0,-1.014046396188557
seed3,seed3_t1_#0,-0.9628304007830245
seed3,seed3_t1_#0,-0.9636068226154638
seed3,seed3_t1_#0,-1.0345798303775748
seed3,seed3_r1_#1,-0.9131030992354894
seed3,seed3_r1_#1,-0.8188028635617592
seed3,seed3_r1_#1,-0.8833323045898257
seed3,seed3_t1_#1,-0.9831429898700934
seed3,seed3_t1_#1,-1.0031957289470963
seed3,seed3_t1_#1,-0.9123700845460558
seed3,seed3_r1_#2,-0.9219499240513728
seed3,seed3_r1_#2,-0.9853809719264653
seed3,seed3_r1_#2,-1.0215088010442557
seed3,seed3_t1_#2,-0.9828419286734609
seed3,seed3_t1_#2,-1.0027695794475526
seed3,seed3_t1_#2,-1.0278584407268803
seed3,seed3_r2_#0,-0.7825235626082458
seed3,seed3_r2_#0,-0.7883949508624449
seed3,seed3_r2_#0,-0.8514977834341504
seed3,seed3_t2_#0,-1.0028881750834195
seed3,seed3_t2_#0,-1.0161218048914056
seed3,seed3_t2_#0,-1.0298864056209447
seed3,seed3_r2_#1,-0.8751901926637091
seed3,seed3_r2_#1,-0.8256830931644079
seed3,seed3_r2_#1,-0.8905614086436162
seed3,seed3_t2_#1,-0.9970708315007133
seed3,seed3_t2_#1,-0.9442306995506895
seed3,seed3_t2_#1,-0.9628988704169305
seed3,seed3_r2_#2,-0.9296916808248376
seed3,seed3_r2_#2,-0.8698801374590024
seed3,seed3_r2_#2,-0.9321571352234295
seed3,seed3_t2_#2,-0.976965230819298
seed3,seed3_t2_#2,-1.0512380370387335
seed3,seed3_t2_#2,-1.0166536682315794
seed3,seed3_r3_#0,-0.9420036044481204
seed3,seed3_r3_#0,-0.9026993904703184
seed3,seed3_r3_#0,-0.9397987066220255
seed3,seed3_t3_#0,-1.1415731287779889
seed3,seed3_t3_#0,-1.0127473266463598
seed3,seed3_t3_#0,-1.002131605403726
seed3,seed3_r3_#1,-0.9488261100903911
seed3,seed3_r3_#1,-0.913469402569248
seed3,seed3_r3_#1,-1.0300906758731034
seed3,seed3_t3_#1,-0.9400554366761362
seed3,seed3_t3_#1,-0.9929504397477606
seed3,seed3_t3_#1,-1.0115248782548245
seed3,seed3_r3_#2,-0.9885185103236707
seed3,seed3_r3_#2,-0.8914341014380185
seed3,seed3_r3_#2,-0.8739483709318928
seed3,seed3_t3_#2,-0.9886011435654058
seed3,seed3_t3_#2,-0.9918006112249607
seed3,seed3_t3_#2,-0.9724999531692531
seed3,seed3_r4_#0,-0.9142558003207344
seed3,seed3_r4_#0,-0.8423741484478429
seed3,seed3_r4_#0,-0.8987627798161392
seed3,seed3_t4_#0,-1.0406824680769515
seed3,seed3_t4_#0,-0.9513106527400677
seed3,seed3_t4_#0,-1.0059309272404486
seed3,seed3_r4_#1,-0.9808538554419752
seed3,seed3_r4_#1,-0.8576623100165168
seed3,seed3_r4_#1,-0.8973779024675522
seed3,seed3_t4_#1,-1.0164133029029452
seed3,seed3_t4_#1,-1.0246088998219924
seed3,seed3_t4_#1,-1.0368329283416886
seed3,seed3_r4_#2,-0.8661508447848285
seed3,seed3_r4_#2,-0.9560106995727429
seed3,seed3_r4_#2,-0.8081712919445816
seed3,seed3_t4_#2,-0.9959011889128708
seed3,seed3_t4_#2,-1.0139909061688503
seed3,seed3_t4_#2,-1.0088591300403846
seed3,seed3_r5_#0,-0.8427007555065549
seed3,seed3_r5_#0,-0.8995948549734412
seed3,seed3_r5_#0,-0.9016288751093402
