name best spl_iter_50 spl_iter_100 spl_iter_150 
circuit_4_pr299 17652.8460195387 19223.720823913667 19303.599389378538 19384.019269049786 
circuit_24_u724 7104.523546150239 13250.87579633751 8334.109077287376 12689.234733112882 
circuit_13_pcb442 7586.722118291422 9037.874028578864 13245.009730278138 9448.236182559753 
city_5_ali535_l 228.13252270233846 245.6646864509549 265.94419000305646 271.56335294291426 
gaussian_13 10.00595822635236 15.315657026238195 15.315657026238195 15.315657026238195 
gaussian_24 10.318151341495028 15.336318122505872 17.329996489099134 16.03582933408347 
circuit_10_pr107 47163.77337034089 55216.202441361704 74447.02891926237 84194.73492104503 
uniform_6 10.349430005841153 16.070496632039692 15.147905795988414 13.762058998753934 
circuit_6_p654 13465.564219435117 22643.967084708158 22752.59824106576 22663.954374870445 
city_11_nrw1379_r 20326.44906382764 39408.15055078494 39071.07957452649 55710.98528343843 
city_6_ali535_r 132.08685460882992 153.68883042760388 161.07560469654456 153.54372349690715 
circuit_1_linhp318 8845.690078045709 14947.934800003213 14340.978466012655 14352.58608609318 
gaussian_7 9.958316385737863 14.712241830413621 13.594350698477696 14.323623641006433 
uniform_10 9.80024231603195 13.833035866185597 13.094968104637788 16.14763011883531 
uniform_3 9.811231713100934 14.08925553147186 12.289817743585592 14.834803457926382 
circuit_11_pr144 35760.570270685566 41009.17143217961 43780.748000429994 62045.403324381434 
uniform_15 10.002776100167571 17.64850269515598 17.180513611698395 15.148378222705828 
uniform_22 9.616666531820865 16.355709123895046 15.716496570655194 15.716496570655194 
gaussian_2 9.650726853201181 14.248722935713893 14.13045028517137 15.632661030347741 
city_14_gr666_l 160.70518190168852 204.42621552200765 240.1757691082277 202.9496768917337 
gaussian_21 9.448930144132584 15.26629683954105 15.377268403902532 15.26629683954105 
gaussian_16 9.24478259613558 14.12412692261064 14.12412692261064 14.12412692261064 
uniform_18 9.929926841645145 16.471465302809037 16.471465302809037 15.648798371994005 
city_23_att532_r 20142.652513903937 37845.72059099448 21579.195599720795 38570.817771492664 
city_0_bier127 46171.58194782312 84883.40256346525 53759.17602905674 116292.42424846091 
city_22_att532_l 17033.62712074488 20250.871498572804 17824.173969994656 22147.38193223535 
gaussian_11 10.221352775302252 15.393740106346836 15.393740106346836 15.393740106346836 
gaussian_8 9.856780510775573 15.642985938419768 13.636507040024165 15.960175857349377 
city_21_gr229 276.142330594443 354.1582904313838 433.4735173879248 336.26413496218674 
city_12_gr431 146.66320583670736 256.82607463680165 178.05453562432126 164.42486339604892 
city_18_brd14051_ul 18879.998980571163 20559.12413097967 36362.271964371845 36952.94903451666 
uniform_9 9.8175591627074 13.56620484703323 13.56620484703323 13.487125149165424 
circuit_9_pr136 39465.11134242221 91619.8889032036 68098.65096527702 72815.45130933104 
city_10_nrw1379_l 18256.72388170646 34893.43698787855 49601.81099599238 20300.9367401294 
circuit_18_d1291 7387.150638357155 13668.694564590078 13207.028653575524 13134.853548247764 
gaussian_5 10.381764330867869 14.046421409204072 14.046421409204072 14.435196749885444 
city_17_brd14051_ll 14838.048975611096 16839.426752233292 41557.73197647881 29715.537879490694 
uniform_12 9.631597655594144 12.627173999785443 12.4443149118476 15.046190136817856 
uniform_4 10.732445910023236 16.811163842922916 16.811163842922916 18.30498012942751 
uniform_20 9.65052979498801 12.478520310036725 11.878435537362549 11.878435537362549 
uniform_17 10.209661342390614 13.490239966408524 13.974175547745157 13.974175547745157 
circuit_14_fl417 5589.65457974217 8635.93107161688 8839.995917810047 8059.73581601154 
gaussian_0 9.594864665948029 17.521842611506532 15.448298491261905 15.080159748377259 
city_16_gr96 186.76886322723058 226.10272815929713 223.9240919803059 223.1892120840229 
gaussian_19 10.670404416343386 17.777436514414767 16.14185826141167 15.71140202561747 
uniform_1 9.811031254288215 14.799486336578275 12.711238915233656 12.852393344919054 
circuit_23_pr1002 31791.140403135647 79764.62107490581 36870.323495293116 80458.22881878055 
city_24_berlin52 4701.958190378028 5442.489645838492 5087.784833880393 6899.332965751335 
gaussian_14 10.4600712908741 19.883112236670087 20.638490049397554 16.489701366089186 
gaussian_23 10.032820887287423 13.71066857332 14.853153562628002 13.19328985921542 
circuit_15_u1060 31746.726444357122 38328.796355153965 34877.23657287104 34436.94836580196 
city_19_brd14051_lr 17865.661185812456 33872.24026032189 33770.98619432499 19622.00890074588 
city_20_brd14051_ur 24397.90820662203 27540.692419051167 27563.273268911402 26050.50234609885 
circuit_21_d493 8338.21004800568 10849.305665481195 15240.607034305727 9220.411120522502 
uniform_2 9.572841410274966 14.985157371027018 14.09700156557569 13.13000268867012 
circuit_22_u574 7013.191183292717 13009.783343828605 12482.585471679457 12542.624212992854 
gaussian_3 10.067320591800806 17.362549618373247 15.64728905156602 14.844049012476583 
city_1_usa13509_ll 2128166.8730982384 4313647.782397186 5941682.001479731 2315536.4933405626 
uniform_14 9.656445842170992 17.083120250801848 15.437593765911764 13.18445558699928 
uniform_23 10.244608984717456 13.101114772919367 15.484370786807881 15.03091084646323 
circuit_16_pr76 45864.41089556478 76634.71022506343 58705.1471624457 58497.78665953214 
uniform_19 9.807033327538868 16.73708188128902 13.77611002750276 13.356781491291345 
circuit_0_a280 684.251913775264 1113.4979245249892 874.5144704581318 816.1302398562729 
gaussian_20 9.47029327578021 13.724589208258172 14.299550366005038 17.18318626662673 
gaussian_17 9.403600358461283 14.58094951003575 17.83075559443276 15.981960078180553 
city_4_usa13509_ur 2412152.229675424 4580713.032674307 2645720.0850464357 6717273.852249814 
circuit_5_d657 8233.957482206188 9727.550115131637 14757.962221270676 9633.36012972275 
