query mapping geometric deepwalk node2vec struc2vec dummy kernel_edge_hist_gauss kernel_edge_hist kernel_random_walk_exp kernel_random_walk_geo kernel_vertex_edge_hist_gauss kernel_vertex_edge_hist kernel_vertex_vertex_edge_hist heuristic_dbl_mst heuristic_far_ins heuristic_near_ins heuristic_near_neigh 
circuit_13_pcb442 6727.988898209759 6751.343961388498 8846.333184973075 6818.337658784039 11157.049855207722 11459.349252332255 6930.5440257561595 6960.444430243435 6960.444430243435 6977.67837946456 6828.444310843262 6977.67837946456 6977.67837946456 8128.104881631131 7060.355080953784 7170.7624577337265 7566.292691130506 
circuit_14_fl417 3302.2684116725595 3302.2684116725595 3303.991498861231 3303.991498861231 4828.969936027197 5502.5836743752925 3303.991498861231 3303.991498861231 3303.991498861231 3303.991498861231 3303.991498861231 3303.991498861231 3303.991498861231 3734.666709097061 3282.3762572481314 3260.252143227248 3748.345648819641 
circuit_15_u1060 13417.724927983678 13395.60191871967 18126.234408748573 12325.196223648014 18198.705170673056 19820.37925784395 12325.196223648014 12254.1978645287 12325.196223648014 12325.196223648014 12325.196223648014 11548.04612406258 12199.951721194418 14011.496824242935 10742.55832661159 11406.970910936037 13673.347333760375 
circuit_17_u159 17061.390651953232 17116.407149230112 16185.443593001592 15508.64990414654 26205.015093937498 30340.2730636393 15619.634472485313 15567.071803380015 15508.64990414654 15626.083982709912 15626.083982709912 15626.083982709912 15392.30508904885 20331.63236318076 15856.718511751478 18822.056973734365 20643.098087134902 
gaussian_3 6.6145781641409105 6.6145781641409105 6.62541307604641 7.0464408606099 8.99052145331706 8.960502157567568 6.7453750664479255 6.815821217985366 6.908783642430703 7.0464408606099 7.0464408606099 6.891591018360133 6.809653215068725 7.697890327934138 6.722338741860916 6.696048683815442 7.627439642198085 
circuit_6_p654 9045.268667412185 8873.839870637617 9686.700230917166 9079.971058968382 14804.22995404778 14339.722154250314 9059.87586393636 9190.839537833901 9190.839537833901 9190.839537833901 9190.839537833901 9190.839537833901 8832.85426505401 10204.28927432584 9008.390049691421 9197.425990811438 10323.485445354434 
circuit_4_pr299 13480.011735795064 14765.957361160155 14145.663616812037 12482.44193363009 20553.495598898156 21775.562686786867 16543.67827273084 16543.67827273084 16312.54702128358 13931.347113165 13374.16555921899 14398.18433044877 13702.36370932765 14796.694992607929 11638.36497121594 12850.590121456567 12117.784012412347 
uniform_21 10.611998751455864 11.078989770801567 11.43215193693973 11.739132300214488 17.74550405022373 18.553118542647926 11.633876045794182 11.586189224919448 11.739132300214488 11.006482207313882 11.739132300214488 11.553744410798442 10.722499265108546 14.27178564298597 10.704150919776303 11.849017918212539 12.608179185071211 
city_4_usa13509_ur 112820.85875085549 113315.94990970114 115764.84394877244 115764.84394877244 158604.22067403584 163997.48133400336 115764.84394877244 112967.90080001221 115764.84394877244 115764.84394877244 115764.84394877244 115764.84394877244 115764.84394877244 119097.3842192591 99015.84729389491 116062.47311622436 106891.18928849987 
city_12_gr431 169.83081455991405 170.52169038268337 172.74382906853555 174.82578058453436 240.04224444194062 241.78688159468348 175.73394319629253 163.19616719189696 164.99687013954687 175.69975580835015 175.73394319629253 153.83058708159533 175.73394319629253 196.30434645753343 154.67362944280006 164.4241902507448 212.13298765580532 
circuit_16_pr76 64409.30190329655 64409.30190329655 76066.72276315103 71626.29573503872 110567.4326006448 108857.19998969369 76136.49186549644 71932.04248881056 71200.49371151687 77115.76403356662 76453.31587740305 71788.78118339402 74800.06741696213 79667.19384673516 70030.20070928012 71979.17653687103 68576.3254494931 
city_10_nrw1379_l 2321.953690493632 2440.5892563544708 2575.455487758092 2180.402996369529 3271.6194084929925 3353.4216241782187 2067.0618106287825 2276.3746433194356 2136.077869999462 2229.6156400946934 2276.3746433194356 2149.7016714829724 2095.770148703678 2734.967707911611 2398.423323169101 2222.4198706923057 2487.102190786578 
gaussian_12 8.230436594539901 8.213093417258039 8.988496446793512 8.413733599217831 11.26608851922938 11.410172545632953 8.413733599217831 8.086791595767236 8.202640656081165 8.05780678969237 8.413733599217831 7.899793723825496 8.413733599217831 9.005272320921186 8.151340736504187 8.448463972302822 9.05270354977202 
city_5_ali535_l 327.374630775011 351.8133421049467 353.6741188222314 361.26341719167334 521.411591257363 536.3475447631653 340.0169267850129 361.26341719167334 354.8019529292018 361.26341719167334 361.26341719167334 361.26341719167334 353.1023840657691 373.2622824692707 310.1461759492832 324.6728864301269 357.063323304072 
gaussian_11 6.369215206844691 6.330225541425997 7.389258347704211 6.670027340824424 8.608739886891016 8.65781997046431 6.501081987496156 6.5069423220739715 6.965854391314201 6.8367106769606485 6.865854650602892 6.693115659046514 6.551027949419828 7.683038503708204 6.386718120720471 6.146042737355288 7.76322844592912 
circuit_1_linhp318 8712.822459879506 8810.756834351641 12451.781490978023 8679.520934019329 14866.497783595893 15306.86516862449 8679.520934019329 8679.520934019329 8679.520934019329 8679.520934019329 8679.520934019329 8679.520934019329 8679.520934019329 11612.895470079327 9087.147271269681 9021.473129014903 10391.979246713461 
city_16_gr96 323.4003337619209 317.5642689520816 384.33372044059854 320.7952206247871 457.54038931870724 496.22853167023646 320.7952206247871 318.71179830778584 320.7952206247871 320.7952206247871 320.7952206247871 320.7952206247871 318.5412833420392 381.0278139528802 339.6643831952036 332.37186015579215 355.52314609797077 
