Inst_a,Inst_b,Distance
seed3,seed3_r0_#0,0.016041679683410907
seed3,seed3_r0_#0,0.0017741165501985981
seed3,seed3_r0_#0,0.008574914238514057
seed3,seed3_r1_#0,0.012619160180391173
seed3,seed3_r1_#0,0.007316651336159841
seed3,seed3_r1_#0,0.006402373498345125
seed3,seed3_t1_#0,0.00917778483683378
seed3,seed3_t1_#0,0.01766620591540906
seed3,seed3_t1_#0,0.01671736612813144
seed3,seed3_r1_#1,0.011442105386679571
seed3,seed3_r1_#1,0.009383931854600356
seed3,seed3_r1_#1,0.015612495780752926
seed3,seed3_t1_#1,0.0026990714229891666
seed3,seed3_t1_#1,0.004239258822005081
seed3,seed3_t1_#1,0.0017125150169043143
seed3,seed3_r1_#2,0.004668172558676798
seed3,seed3_r1_#2,0.026249143034340883
seed3,seed3_r1_#2,0.005480931101916069
seed3,seed3_t1_#2,0.006770483689180676
seed3,seed3_t1_#2,0.006697350919878292
seed3,seed3_t1_#2,0.0023651645011095873
seed3,seed3_r2_#0,0.026068224096782455
seed3,seed3_r2_#0,0.01853975084345334
seed3,seed3_r2_#0,0.022616521504421724
seed3,seed3_t2_#0,0.003951400393152334
seed3,seed3_t2_#0,0.0026727569749889256
seed3,seed3_t2_#0,0.004418106299840788
seed3,seed3_r2_#1,0.021332128841708032
seed3,seed3_r2_#1,0.017243794514492056
seed3,seed3_r2_#1,0.018264768648130383
seed3,seed3_t2_#1,0.004091801033382655
seed3,seed3_t2_#1,0.0126322879138022
seed3,seed3_t2_#1,0.005849467620339861
seed3,seed3_r2_#2,0.016302125639149893
seed3,seed3_r2_#2,0.018090838212883615
seed3,seed3_r2_#2,0.014406170849496252
seed3,seed3_t2_#2,0.014579336166843206
seed3,seed3_t2_#2,0.011470920661121375
seed3,seed3_t2_#2,0.005154460438479853
seed3,seed3_r3_#0,0.010705334065442763
seed3,seed3_r3_#0,0.011886547496466459
seed3,seed3_r3_#0,0.015934216768863533
seed3,seed3_t3_#0,0.003261272534578251
seed3,seed3_t3_#0,0.006389726349161256
seed3,seed3_t3_#0,0.0024189663958040573
seed3,seed3_r3_#1,0.010215286153642969
seed3,seed3_r3_#1,0.012206571875502161
seed3,seed3_r3_#1,0.008026077563297915
seed3,seed3_t3_#1,0.012858326558680916
seed3,seed3_t3_#1,0.005274036013762587
seed3,seed3_t3_#1,0.005457998424112276
seed3,seed3_r3_#2,0.009643452429595707
seed3,seed3_r3_#2,0.017341746592806878
seed3,seed3_r3_#2,0.017101769076876782
seed3,seed3_t3_#2,0.009035896317708236
seed3,seed3_t3_#2,0.004138905501638549
seed3,seed3_t3_#2,0.0026669874041356668
seed3,seed3_r4_#0,0.016636785569280572
seed3,seed3_r4_#0,0.017163755978579397
seed3,seed3_r4_#0,0.027816704234680745
seed3,seed3_t4_#0,0.006831930045064966
seed3,seed3_t4_#0,0.006589205544168296
