Inst_a,Inst_b,Distance, Baseline
circuit_15_u1060,circuit_15_u1060_r0_#0,0.0030680000367823675,0.0
circuit_15_u1060,circuit_15_u1060_r0_#0,0.0026693381804835875,0.0
circuit_15_u1060,circuit_15_u1060_r0_#0,0.014737282762657913,0.0
circuit_15_u1060,circuit_15_u1060_r1_#0,0.008619712033947421,0.04506486311970437
circuit_15_u1060,circuit_15_u1060_r1_#0,0.0059236267107485386,0.04506486311970437
circuit_15_u1060,circuit_15_u1060_r1_#0,0.003459852544659573,0.04506486311970437
circuit_15_u1060,circuit_15_u1060_t1_#0,0.006566231593280335,0.05508697368956833
circuit_15_u1060,circuit_15_u1060_t1_#0,0.007678103682854466,0.05508697368956833
circuit_15_u1060,circuit_15_u1060_t1_#0,0.012675176122860019,0.05508697368956833
circuit_15_u1060,circuit_15_u1060_r2_#0,0.012088795966754533,0.18672568265185702
circuit_15_u1060,circuit_15_u1060_r2_#0,0.010163204171545242,0.18672568265185702
circuit_15_u1060,circuit_15_u1060_r2_#0,0.04557426338539939,0.18672568265185702
circuit_15_u1060,circuit_15_u1060_t2_#0,0.07397414500362645,0.12194100853123935
circuit_15_u1060,circuit_15_u1060_t2_#0,0.015280573337279288,0.12194100853123935
circuit_15_u1060,circuit_15_u1060_t2_#0,0.021187462188986796,0.12194100853123935
circuit_15_u1060,circuit_15_u1060_r3_#0,0.07609052449374952,0.14503619213261604
circuit_15_u1060,circuit_15_u1060_r3_#0,0.037413117103325365,0.14503619213261604
circuit_15_u1060,circuit_15_u1060_r3_#0,0.010903826630277152,0.14503619213261604
circuit_15_u1060,circuit_15_u1060_t3_#0,0.03929323655114803,0.13393537138110734
circuit_15_u1060,circuit_15_u1060_t3_#0,0.029058923246832,0.13393537138110734
circuit_15_u1060,circuit_15_u1060_t3_#0,0.01056237084007812,0.13393537138110734
circuit_15_u1060,circuit_15_u1060_r4_#0,0.14090504434635606,0.15390478340379105
circuit_15_u1060,circuit_15_u1060_r4_#0,0.017641222615071374,0.15390478340379105
circuit_15_u1060,circuit_15_u1060_r4_#0,0.026542284122176133,0.15390478340379105
circuit_15_u1060,circuit_15_u1060_t4_#0,0.035616308680111196,0.15952915007769358
circuit_15_u1060,circuit_15_u1060_t4_#0,0.08511629839242948,0.15952915007769358
circuit_15_u1060,circuit_15_u1060_t4_#0,0.010238834782232326,0.15952915007769358
circuit_15_u1060,circuit_15_u1060_r5_#0,0.05482520447256192,0.2023424984518118
circuit_15_u1060,circuit_15_u1060_r5_#0,0.031547375085049595,0.2023424984518118
circuit_15_u1060,circuit_15_u1060_r5_#0,0.014909203918282477,0.2023424984518118
circuit_15_u1060,circuit_15_u1060_t5_#0,0.09937389169800297,0.12454287591713636
circuit_15_u1060,circuit_15_u1060_t5_#0,0.13293055879445317,0.12454287591713636
circuit_15_u1060,circuit_15_u1060_t5_#0,0.09259020652754012,0.12454287591713636
circuit_15_u1060,circuit_15_u1060_r6_#0,0.09215986076706266,0.20495058790200715
circuit_15_u1060,circuit_15_u1060_r6_#0,0.056292675745497546,0.20495058790200715
circuit_15_u1060,circuit_15_u1060_r6_#0,0.016867139328446426,0.20495058790200715
circuit_15_u1060,circuit_15_u1060_t6_#0,0.10611847361391552,0.13188039821296937
circuit_15_u1060,circuit_15_u1060_t6_#0,0.07814376373525783,0.13188039821296937
circuit_15_u1060,circuit_15_u1060_t6_#0,0.0424628908657175,0.13188039821296937
circuit_15_u1060,circuit_15_u1060_r7_#0,0.03549207697963395,0.14878570361796756
circuit_15_u1060,circuit_15_u1060_r7_#0,0.05599031081930367,0.14878570361796756
circuit_15_u1060,circuit_15_u1060_r7_#0,0.010351091028736348,0.14878570361796756
circuit_15_u1060,circuit_15_u1060_t7_#0,0.028435571127787895,0.20669384411762476
circuit_15_u1060,circuit_15_u1060_t7_#0,0.0397505043699127,0.20669384411762476
circuit_15_u1060,circuit_15_u1060_t7_#0,0.02234453846675406,0.20669384411762476
circuit_15_u1060,circuit_15_u1060_r8_#0,0.015616801578157617,0.26253072984991466
circuit_15_u1060,circuit_15_u1060_r8_#0,0.18269779846870574,0.26253072984991466
circuit_15_u1060,circuit_15_u1060_r8_#0,0.07704441372343072,0.26253072984991466
circuit_15_u1060,circuit_15_u1060_t8_#0,0.03545000095429911,0.229349241770073
circuit_15_u1060,circuit_15_u1060_t8_#0,0.13866261359923204,0.229349241770073
circuit_15_u1060,circuit_15_u1060_t8_#0,0.009640579166950004,0.229349241770073
circuit_15_u1060,circuit_15_u1060_r9_#0,0.012155939308428737,0.20350500046686132
circuit_15_u1060,circuit_15_u1060_r9_#0,0.08093864582046137,0.20350500046686132
circuit_15_u1060,circuit_15_u1060_r9_#0,0.12645114114610947,0.20350500046686132
circuit_15_u1060,circuit_15_u1060_t9_#0,0.2376228650457212,0.2644090306207868
circuit_15_u1060,circuit_15_u1060_t9_#0,0.010817484627164968,0.2644090306207868
circuit_15_u1060,circuit_15_u1060_t9_#0,0.030307064740150425,0.2644090306207868
