Inst_a,Inst_b,Distance, Baseline
gaussian_20,gaussian_20_r0_#0,0.00490269283181305,0.0
gaussian_20,gaussian_20_r0_#0,0.007690603525474735,0.0
gaussian_20,gaussian_20_r0_#0,0.0005538989264778492,0.0
gaussian_20,gaussian_20_r1_#0,0.003957975867934188,0.043639655796875454
gaussian_20,gaussian_20_r1_#0,0.0026282675706287657,0.043639655796875454
gaussian_20,gaussian_20_r1_#0,0.005049797936672123,0.043639655796875454
gaussian_20,gaussian_20_t1_#0,0.005505669442127311,0.04413565544088227
gaussian_20,gaussian_20_t1_#0,0.0030972308993420794,0.04413565544088227
gaussian_20,gaussian_20_t1_#0,0.004392583990579778,0.04413565544088227
gaussian_20,gaussian_20_r2_#0,0.001972931820881399,0.0853415447883843
gaussian_20,gaussian_20_r2_#0,0.013453924562434492,0.0853415447883843
gaussian_20,gaussian_20_r2_#0,0.003808856941684493,0.0853415447883843
gaussian_20,gaussian_20_t2_#0,0.0032958528854025986,0.08508028841692394
gaussian_20,gaussian_20_t2_#0,0.0024234686113259085,0.08508028841692394
gaussian_20,gaussian_20_t2_#0,0.004308809276282727,0.08508028841692394
gaussian_20,gaussian_20_r3_#0,0.012929660324427146,0.09242053804140093
gaussian_20,gaussian_20_r3_#0,0.003038480381551018,0.09242053804140093
gaussian_20,gaussian_20_r3_#0,0.0025173020275984464,0.09242053804140093
gaussian_20,gaussian_20_t3_#0,0.003954020654558803,0.09383947176010388
gaussian_20,gaussian_20_t3_#0,0.005407121016675525,0.09383947176010388
gaussian_20,gaussian_20_t3_#0,0.0040654124183742,0.09383947176010388
gaussian_20,gaussian_20_r4_#0,0.0025028974853876546,0.03830577716171435
gaussian_20,gaussian_20_r4_#0,0.0034601351905621303,0.03830577716171435
gaussian_20,gaussian_20_r4_#0,0.0034007115948856592,0.03830577716171435
gaussian_20,gaussian_20_t4_#0,0.002829465377755925,0.03649473953849558
gaussian_20,gaussian_20_t4_#0,0.00322896572627013,0.03649473953849558
gaussian_20,gaussian_20_t4_#0,0.0035255075417227537,0.03649473953849558
gaussian_20,gaussian_20_r5_#0,0.003325932905345526,0.10751361265648263
gaussian_20,gaussian_20_r5_#0,0.0025231998363837247,0.10751361265648263
gaussian_20,gaussian_20_r5_#0,0.027390909762198264,0.10751361265648263
gaussian_20,gaussian_20_t5_#0,0.0052543282527654275,0.1041022325330172
gaussian_20,gaussian_20_t5_#0,0.005941805782491985,0.1041022325330172
gaussian_20,gaussian_20_t5_#0,0.03327261344429848,0.1041022325330172
gaussian_20,gaussian_20_r6_#0,0.0031081676913431978,0.004876963639200538
gaussian_20,gaussian_20_r6_#0,0.005254532800924816,0.004876963639200538
gaussian_20,gaussian_20_r6_#0,0.002483320313610788,0.004876963639200538
gaussian_20,gaussian_20_t6_#0,0.0026346414889015933,0.002495403503533389
gaussian_20,gaussian_20_t6_#0,0.0038686622649064667,0.002495403503533389
gaussian_20,gaussian_20_t6_#0,0.003163667317471584,0.002495403503533389
gaussian_20,gaussian_20_r7_#0,0.004808956010266357,0.07776688825330491
gaussian_20,gaussian_20_r7_#0,0.002688104748630781,0.07776688825330491
gaussian_20,gaussian_20_r7_#0,0.004747178142839426,0.07776688825330491
gaussian_20,gaussian_20_t7_#0,0.003162584457812631,0.07817926405170339
gaussian_20,gaussian_20_t7_#0,0.006268543374737406,0.07817926405170339
gaussian_20,gaussian_20_t7_#0,0.01514885971454703,0.07817926405170339
gaussian_20,gaussian_20_r8_#0,0.008203146543324723,0.159046506127704
gaussian_20,gaussian_20_r8_#0,0.004310682116143417,0.159046506127704
gaussian_20,gaussian_20_r8_#0,0.004161678555654854,0.159046506127704
gaussian_20,gaussian_20_t8_#0,0.00367101258282438,0.1636874201247851
gaussian_20,gaussian_20_t8_#0,0.004590750913441647,0.1636874201247851
gaussian_20,gaussian_20_t8_#0,0.010988247193301224,0.1636874201247851
gaussian_20,gaussian_20_r9_#0,0.003270182664477809,0.23331007669293902
gaussian_20,gaussian_20_r9_#0,0.0029779856218000774,0.23331007669293902
gaussian_20,gaussian_20_r9_#0,0.004538842398245768,0.23331007669293902
gaussian_20,gaussian_20_t9_#0,0.00269966711977595,0.2435294923851521
gaussian_20,gaussian_20_t9_#0,0.006281219003324061,0.2435294923851521
gaussian_20,gaussian_20_t9_#0,0.00548157239517043,0.2435294923851521
