Inst_a,Inst_b,Distance, Baseline
uniform_10,uniform_10_r0_#0,0.003054816529822347,0.0
uniform_10,uniform_10_r0_#0,0.020934266185605267,0.0
uniform_10,uniform_10_r0_#0,0.004492791307690152,0.0
uniform_10,uniform_10_r1_#0,0.002687764138485158,0.01113577554211953
uniform_10,uniform_10_r1_#0,0.003845243210833422,0.01113577554211953
uniform_10,uniform_10_r1_#0,0.004422605848310642,0.01113577554211953
uniform_10,uniform_10_t1_#0,0.009529358145159884,0.011730540101648312
uniform_10,uniform_10_t1_#0,0.0038107841183637335,0.011730540101648312
uniform_10,uniform_10_t1_#0,0.0043033508277151925,0.011730540101648312
uniform_10,uniform_10_r2_#0,0.006035968619945948,0.06017713251138512
uniform_10,uniform_10_r2_#0,0.002210319673474287,0.06017713251138512
uniform_10,uniform_10_r2_#0,0.003843475340784282,0.06017713251138512
uniform_10,uniform_10_t2_#0,0.0018262750662935462,0.0620897518383734
uniform_10,uniform_10_t2_#0,0.0020878730278999186,0.0620897518383734
uniform_10,uniform_10_t2_#0,0.005071941175875162,0.0620897518383734
uniform_10,uniform_10_r3_#0,0.013635707478357224,0.11782492787530396
uniform_10,uniform_10_r3_#0,0.0046993961826013305,0.11782492787530396
uniform_10,uniform_10_r3_#0,0.005382359639771186,0.11782492787530396
uniform_10,uniform_10_t3_#0,0.004530335205672049,0.11243210941624293
uniform_10,uniform_10_t3_#0,0.0036865511818726304,0.11243210941624293
uniform_10,uniform_10_t3_#0,0.003717503074462441,0.11243210941624293
uniform_10,uniform_10_r4_#0,0.004237367536465834,0.016908487177693
uniform_10,uniform_10_r4_#0,0.003581645250333708,0.016908487177693
uniform_10,uniform_10_r4_#0,0.0030983656271041456,0.016908487177693
uniform_10,uniform_10_t4_#0,0.004372345682325926,0.01981920609743204
uniform_10,uniform_10_t4_#0,0.006321375265544189,0.01981920609743204
uniform_10,uniform_10_t4_#0,0.010542412889604811,0.01981920609743204
uniform_10,uniform_10_r5_#0,0.004513561449388182,0.002305625850297366
uniform_10,uniform_10_r5_#0,0.005552703258714706,0.002305625850297366
uniform_10,uniform_10_r5_#0,0.003447446151599529,0.002305625850297366
uniform_10,uniform_10_t5_#0,0.008549238286998235,0.013996876517647916
uniform_10,uniform_10_t5_#0,0.0043996412229806115,0.013996876517647916
uniform_10,uniform_10_t5_#0,0.005583455651338883,0.013996876517647916
uniform_10,uniform_10_r6_#0,0.005934048144029636,0.07908013027404404
uniform_10,uniform_10_r6_#0,0.019303755313742576,0.07908013027404404
uniform_10,uniform_10_r6_#0,0.021741630814598303,0.07908013027404404
uniform_10,uniform_10_t6_#0,0.0024572518430527835,0.07255406952018673
uniform_10,uniform_10_t6_#0,0.00783091593104998,0.07255406952018673
uniform_10,uniform_10_t6_#0,0.004024576404815297,0.07255406952018673
uniform_10,uniform_10_r7_#0,0.018654629963382297,0.0006852862341812926
uniform_10,uniform_10_r7_#0,0.005346689000425453,0.0006852862341812926
uniform_10,uniform_10_r7_#0,0.008690107409559373,0.0006852862341812926
uniform_10,uniform_10_t7_#0,0.007981640433112202,0.018135659635963863
uniform_10,uniform_10_t7_#0,0.002376342779288422,0.018135659635963863
uniform_10,uniform_10_t7_#0,0.00364899662618564,0.018135659635963863
uniform_10,uniform_10_r8_#0,0.005880432985457868,0.16248209360424726
uniform_10,uniform_10_r8_#0,0.0020424323010420683,0.16248209360424726
uniform_10,uniform_10_r8_#0,0.0035586196923408342,0.16248209360424726
uniform_10,uniform_10_t8_#0,0.004412897533120964,0.16820856245693183
uniform_10,uniform_10_t8_#0,0.00430613963401169,0.16820856245693183
uniform_10,uniform_10_t8_#0,0.015131703412532678,0.16820856245693183
uniform_10,uniform_10_r9_#0,0.003938711488431929,0.15186578461990696
uniform_10,uniform_10_r9_#0,0.004468270327122566,0.15186578461990696
uniform_10,uniform_10_r9_#0,0.0022192802555853542,0.15186578461990696
uniform_10,uniform_10_t9_#0,0.002727716835753657,0.15260974108019565
uniform_10,uniform_10_t9_#0,0.012984187861515038,0.15260974108019565
uniform_10,uniform_10_t9_#0,0.0033269991340511896,0.15260974108019565
